Time Posted,"Image URL","Caption","Media Type (Image, Video, Carousel)","Engagements","Views","Reach","Clicks","Likes","Shares","Comments"
"Dec 17, 2025 08:43:59 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/fb-analytics/397113476816736_122173515854476622-5881ac4ecf1043.jpg","As is tradition, Johnny opened A Bunch of Stuff in the only way that made sense: not with a ribbon or a speech, but with a painting. 

A first stroke (or spray) on a fresh canvas, like smashing a bottle of champagne against a ship before it sails.

Over the following days and weeks, fans across Tokyo have added their own messages of love and creativity to the wall. 

We can’t wait to welcome you to A Bunch Of Stuff Tokyo. 

そして今回も“例のやり方”で。
ジョニーは『A Bunch of Stuff』の幕開けを、スピーチでもテープカットでもなく、『絵』で始めた。
 
まっさらなキャンバスに置かれた最初の一筆（あるいはスプレー）。
まるで船出の前に船にシャンパンを打ちつける、あの伝統のように。","album","1184","6125","3028","721","230","17","29"
"Dec 15, 2025 11:37:52 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/fb-analytics/397113476816736_122173308350476622-e310b1d3fc9547.jpg","ザ・バニーマン。⁠
それは、幼い子どもの悪夢と、アーティストの無意識から引き寄せられた存在。⁠

ジョニーの当時5歳の息子が初めて描いたとき、彼は“怖いもの”…しかしどこか“見覚えのあるもの”として現れました。⁠
⁠
いま彼は、守護者であり、姿を変えるシェイプシフターとして進化。⁠
真実の剣を携え、想像と現実のあいだを行き来する存在となりました。⁠

私たちを怯えさせるものこそ、しばしば最大の創造性を秘めている、その象徴でもあります。⁠
⁠
バニーマンはジョニー・デップの作品に真実性と意図を刻む印。⁠
そして今回、A Bunch of Stuff にて、ついに初めて一般に公開されます。⁠
⁠
このエキシビションはSilk the Rich (@silk_therich)の提供での開催。⁠
公式パートナー:ファミリーマート、Hot Toys、JPS Gallery⁠
@johnnydepp @familymart.japan @hottoyscollectibles, @hottoys_japan, @corachotequila, @corachotequila japan, @jpsgallery⁠
⁠
The Bunnyman. A figure pulled from a child’s nightmare and an artist’s subconscious. First drawn by Johnny’s five-year-old son, he appeared as something frightening… yet strangely familiar.⁠
⁠
Today, he’s evolved into a guardian and a shapeshifter. A protector holding a sword of truth, bridging the space between imagination and reality. A reminder that the things that scare us often carry our greatest creative power.⁠
⁠
The Bunnyman marks each piece with authenticity and intention and is seen for the first time in public in Johnny Depp’s A Bunch of Stuff.⁠
⁠
#ABunchOfStuff #JohnnyDepp #TokyoExhibition #ImmersiveArt #BAUART #ArtExhibition #Tokyo #日本展覧会 #WeAreNSN","photo","138","1934","1068","48","50","2","6"
"Dec 14, 2025 11:02:08 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/fb-analytics/397113476816736_122173212560476622-ad088f830a7fd1.jpg","アートとは、言葉を使わない対話です。⁠
その場の空気を変え、部屋の景色を揺らし、⁠
思いがけない感情を呼び起こす力をもっています。⁠
⁠
『A Bunch of Stuff』は、ジョニーの表舞台の姿のさらに奥へ──⁠
彼の心と創造の根源にある“内なる世界”をそっと紐解きます。⁠
⁠
彼の創造性を支えるオブジェクト、環境、そして執着。そのすべてを巡る体験を。⁠
チケットはプロフィールのリンクよりご購入いただけます。⁠
⁠
このエキシビションはSilk the Rich (@silk_therich)の提供での開催。⁠
公式パートナー:ファミリーマート、Hot Toys、JPS Gallery⁠
@johnnydepp @familymart.japan, @corachotequila,  @corachotequila.japan, @hottoyscollectibles, @hottoys_japan, @jpsgallery⁠
⁠
Art is a conversation without spoken words. It shifts the room. It changes the air. It evokes emotion that you may not have been prepared to feel. A Bunch of Stuff, peels back behind Johnny’s public facing personality to reveal the inner workings of his hear and creative mind.⁠
⁠
Explore the objects, environments, and obsessions that fuel his creativity and make his art possible. Tickets available via link in bio.⁠
⁠
Official Partners: Silk the Rich, FamilyMart, Coracho Tequila, Hot Toys, JPS Gallery⁠
⁠
#ABunchOfStuff #JohnnyDepp #TokyoExhibition #ImmersiveArt #BAUART #ArtExhibition #Tokyo #日本展覧会 #WeAreNSN","photo","77","1569","834","18","26","2","7"
"Dec 12, 2025 05:19:08 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/fb-analytics/397113476816736_122173052288476622-24a1a5ad4dbde2.jpg","ジョニー・デップのアートと人生を体感する没入型の旅へ⁠
東京でしか体感できい特別な体験。⁠
席数限定につき、ご予約はお早めに。⁠
⁠
このエキシビションはSilk the Rich (@silk_therich)の提供での開催。⁠
公式パートナー:ファミリーマート、Hot Toys、JPS Gallery⁠
@johnnydepp @familymart.japan, @corachotequila, @hottoyscollectibles, @hottoys_japan, @jpsgallery⁠
⁠
Enter the world of Johnny Depp’s art and life in an immersive journey only in Tokyo. Limited Spots available, book now.⁠
⁠
Official Partners: Silk the Rich, FamilyMart, Coracho Tequila, Hot Toys, JPS Gallery⁠
⁠
#ABunchOfStuff #JohnnyDepp #TokyoExhibition #ImmersiveArt #BAUART #ArtExhibition #Tokyo #日本展覧会 #WeAreNSN","photo","190","2048","1225","47","77","5","12"
"Dec 11, 2025 02:06:08 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/fb-analytics/397113476816736_122172943058476622-9463379f9e7c8e.jpg","ジョニー・デップの亡き家族の愛犬Moohへ、⁠
彼はピットブル・ボクサーテリアへの愛情深いトリビュートとして、⁠
大規模な絵画で愛犬を不朽のものとしました。⁠
⁠
彼の個人的なアートワークの証人になってください。⁠
チケットはプロフィールのリンクから入手可能です。⁠
⁠
このエキシビションはSilk the Rich (@silk_therich)の提供での開催。⁠
公式パートナー:ファミリーマート、Hot Toys、JPS Gallery⁠
@johnnydepp @familymart.japan, @corachotequila, @hottoyscollectibles, @hottoys_japan, @jpsgallery⁠
⁠
Get closer to Jonny Depp as you experience the love for his dearly departed family dog Mooh, who he immortalised in a large scale painting as an affectionate tribute to the Pit Bull-Boxer terrier.⁠
⁠
Witness his personal artworks in person. Tickets available via link in bio.⁠
⁠
Official Partners: Silk the Rich, FamilyMart, Coracho Tequila, Hot Toys, JPS Gallery","photo","173","2429","1231","49","60","7","12"
"Dec 10, 2025 11:12:40 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/fb-analytics/397113476816736_122172839288476622-2fb593819c4d7c.jpg","東京限定開催の A Bunch of Stuff 展 では、ジョニー・デップによる “Hedy Lamarr” の歌詞が、⁠
ARを通じてキャンバスから立ち上がるように広がり、⁠
日本向けに新たにローカライズされたコンテンツと文脈が体験をさらに深めます。⁠
⁠
日本のためだけに精鋭による設計されたこのXRトリビュートは、⁠
実際に現地で体験した人だけに姿を現す特別な作品。⁠
チケットはプロフィールのリンクより。⁠
⁠
このエキシビションはSilk the Rich (@silk_therich)の提供での開催。⁠
公式パートナー:ファミリーマート、Hot Toys、JPS Gallery⁠
@johnnydepp @familymart.japan, @corachotequila, @hottoyscollectibles, @hottoys_japan, @jpsgallery⁠
⁠
At Tokyo’s exclusive A Bunch of Stuff exhibit, Johnny Depp’s “Hedy Lamarr” lyrics rise from the canvas through an immersive AR experience, enriched with new localized content and context.⁠
⁠
Designed exclusively for Japan, the XR tribute to Hedy Lamarr is only revealed only when experienced in person. Tickets via link in bio.⁠
⁠
Official Partners: Silk the Rich, FamilyMart, Coracho Tequila, Hot Toys, JPS Gallery⁠
⁠
#ABunchOfStuff #JohnnyDepp #TokyoExhibition #ImmersiveArt #BAUART #ArtExhibition #Tokyo #日本展覧会 #WeAreNSN","video_inline","286","2430","1661","66","106","15","20"
"Dec 5, 2025 04:26:10 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/fb-analytics/397113476816736_122172261308476622-22176610384548.jpg","先週、皆様のご愛嬌によりジョニー・デップの没入型アート体験⁠
「A Bunch of Stuff Tokyo」が完売となるオープニングを迎えれました。⁠
⁠
そ・こ・でまだ迷っているあなたへ！⁠
全ての日程のチケットが急速に売れています。⁠
⁠
今すぐチケットを確保して、ジョニー・デップのアートの世界を体験してください！⁠
⁠
公式パートナー：Silk the Rich、ファミリーマート、Coracho Tequila、⁠Hot Toys、JPS Gallery⁠
@johnnydepp @familymart.japan, @corachotequila, @hottoyscollectibles, @hottoys_japan, @jpsgallery⁠
⁠
A Bunch of Stuff Tokyo launched last week to a completely sold-out opening of Johnny Depp’s immersive art experience. Check out these highlights for a taste of what’s ahead.⁠
⁠
Don’t wait! Tickets are selling fast for every date. Secure yours now and witness the world of Johnny Depp’s art.⁠
⁠
Official Partners: Silk the Rich, FamilyMart, Coracho Tequila, Hot Toys, JPS Gallery⁠
⁠
#ABunchOfStuff #JohnnyDepp #TokyoExhibition #ImmersiveArt #BAUART #ArtExhibition #Tokyo #日本展覧会 #WeAreNSN","video_inline","200","1562","1093","55","80","6","16"
"Nov 28, 2025 03:47:27 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/fb-analytics/397113476816736_122171634998476622-96ebbe9489c95b.jpg","本日オープン！ 東京プレミアまで⁠
あと3時間を切ったよ！⁠
⁠
このエキシビションはSilk the Rich (@silk_therich)の提供での開催。⁠
公式パートナー:ファミリーマート、Hot Toys、JPS Gallery⁠
@johnnydepp @familymart.japan @hottoyscollectibles, @hottoys_japan, @jpsgallery⁠
⁠
There are less than 3 hours left ⁠
for the Tokyo premiere! We’re looking forward to seeing everyone at the opening today!⁠
⁠
Official Partners: Silk the Rich, FamilyMart, Hot Toys, JPS Gallery⁠
⁠
#ABunchOfStuff #JohnnyDepp #TokyoExhibition #ImmersiveArt #BAUART #ArtExhibition #Tokyo #日本展覧会 #WeAreNSN","photo","210","2646","1284","64","73","5","20"
"Nov 26, 2025 08:54:31 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/fb-analytics/397113476816736_122171399456476622-6415c8d2f0d58f.jpg","A Bunch of Stuffお待ちしています！
チケットはバイオのリンクから

Come join us at the Tokyo Premiere this weekend! Tickets via link in bio.","video_inline","231","2413","1322","26","92","11","27"
"Nov 26, 2025 01:23:05 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/fb-analytics/397113476816736_122171364008476622-417ce57c91db4f.jpg","初日チケット完売！

オープン初日のチケットは完売致しました。

週末チケットも売り切れ御免、お早めに！

このエキシビションはSilk the Rich (@silk_therich)の提供での開催。
公式パートナー:ファミリーマート、Hot Toys、JPS Gallery
@johnnydepp @familymart.japan @hottoyscollectibles, @hottoys_japan, @jpsgallery

OPENING DAY SOLD OUT!

Tickets for the Tokyo Premiere are SOLD OUT! Come join us for the opening weekend. Get your tickets before they're gone.

Official Partners: Silk the Rich, FamilyMart, Hot Toys, JPS Gallery

#ABunchOfStuff #JohnnyDepp #TokyoExhibition #ImmersiveArt #BAUART #ArtExhibition #Tokyo #日本展覧会 #WeAreNSN","album","135","1855","929","41","46","2","17"
