"Campaign name","Ad set name","Ad name",Day,"Delivery status","Delivery level",Reach,Impressions,Frequency,"Attribution setting","Result type",Results,"Amount spent (JPY)","Cost per result",Starts,Ends,"Purchases rate per link clicks","Purchases rate per landing page views","CPC (cost per link click)","CPM (cost per 1,000 impressions)","Cost per purchase",Purchases,"Link clicks","Cost per unique link click","Cost per add to cart","Cost per checkout initiated","Landing page views","Cost per landing page view","Landing page views rate per link clicks","Unique link clicks","Unique CTR (link click-through rate)","Reporting starts","Reporting ends"
"ABOS Sales Campaign","Retarg [engagers] - Jan 14","Poster [Redirect link] + related Media",2025-12-26,not_delivering,ad,295,345,1.16949153,"7-day click, 1-day view, or 1-day engaged-view",,,564,,2025-12-06,2026-01-19,0,0,56.4,1634.7826087,,,10,56.4,,,9,62.66666667,90,10,3.38983051,2025-12-26,2025-12-26
Sales,"Web Audience Retarg","JD Spray Painting Ground - Copy 2",2025-12-26,not_delivering,ad,106,135,1.27358491,"7-day click, 1-day view, or 1-day engaged-view",,,174,,2025-11-27,2026-01-13,0,0,,1288.88888889,,,,,,,,,0,,,2025-12-26,2025-12-26
"ABOS Traffic - #2","Broad JP Cities","JD Konnichiwa Video - Copy",2025-12-26,not_delivering,ad,3746,3867,1.03230112,"7-day click or 1-day view","Landing page views",258,1759,6.81782946,2025-12-26,2026-01-13,0,0,6.0239726,454.87457978,,,292,6.63773585,,,258,6.81782946,88.35616438,265,7.07421249,2025-12-26,2025-12-26
Sales,"Web Audience Retarg","JD w/ Confetti - Copy",2025-12-26,not_delivering,ad,3,4,1.33333333,"7-day click, 1-day view, or 1-day engaged-view",,,7,,2025-11-27,2026-01-13,0,0,,1750,,,,,,,,,0,,,2025-12-26,2025-12-26
"ABOS Traffic - #2","Broad JP Cities","JD Photograph with graphics - Copy",2025-12-26,not_delivering,ad,24,24,1,"7-day click or 1-day view","Landing page views",2,3,1.5,2025-12-26,2026-01-13,0,0,1.5,125,,,2,1.5,,,2,1.5,100,2,8.33333333,2025-12-26,2025-12-26
"ABOS Traffic - #2","Broad JP Cities","Hello Tokyo - Copy",2025-12-26,not_delivering,ad,34,35,1.02941176,"7-day click or 1-day view","Landing page views",3,9,3,2025-12-26,2026-01-13,0,0,2.25,257.14285714,,,4,2.25,,,3,3,75,4,11.76470588,2025-12-26,2025-12-26
"ABOS Sales Campaign","Retarg [engagers] - Jan 14","Poster [Redirect link]",2025-12-25,not_delivering,ad,896,992,1.10714286,"7-day click, 1-day view, or 1-day engaged-view",,,1135,,2025-12-06,2026-01-19,0,0,87.30769231,1144.15322581,,,13,103.18181818,,,11,103.18181818,84.61538462,11,1.22767857,2025-12-25,2025-12-25
"ABOS Sales Campaign","Retarg [engagers] - Jan 14","JD w/ Confetti",2025-12-25,not_delivering,ad,353,393,1.11331445,"7-day click, 1-day view, or 1-day engaged-view",,,469,,2025-12-06,2026-01-19,0,0,67,1193.38422392,,,7,67,,,6,78.16666667,85.71428571,7,1.98300283,2025-12-25,2025-12-25
Sales,"Zaiko Test - Account Engagers - Broad","Black and white photo",2025-12-25,not_delivering,ad,0,0,0,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",2,0,0,2025-12-08,2025-12-31,0,0,,,0,2,,,0,0,,,0,,,2025-12-25,2025-12-25
"ABOS Sales Campaign","Retarg [engagers] - Jan 14","JD Spray Painting Ground - Copy 2",2025-12-25,not_delivering,ad,75,81,1.08,"7-day click, 1-day view, or 1-day engaged-view",,,104,,2025-12-06,2026-01-19,0,0,,1283.95061728,,,,,104,52,,,0,,,2025-12-25,2025-12-25
"ABOS Sales Campaign","Retarg [engagers] - Jan 14","JD Konnichiwa Video",2025-12-25,not_delivering,ad,329,359,1.09118541,"7-day click, 1-day view, or 1-day engaged-view",,,309,,2025-12-06,2026-01-19,0,0,103,860.72423398,,,3,154.5,,309,3,103,100,2,0.60790274,2025-12-25,2025-12-25
"ABOS Sales Campaign","Retarg [engagers] - Jan 14","JD Graffiti Paint - Copy",2025-12-25,not_delivering,ad,114,124,1.0877193,"7-day click, 1-day view, or 1-day engaged-view",,,191,,2025-12-06,2026-01-19,0,0,191,1540.32258065,,,1,191,,,,,0,1,0.87719298,2025-12-25,2025-12-25
