"Campaign name","Ad set name","Ad name",Day,"Website URL","Delivery status","Delivery level",Reach,Impressions,Frequency,"Attribution setting","Result type",Results,"Amount spent (JPY)","Cost per result",Starts,Ends,"Purchases rate per link clicks","Purchases rate per landing page views","CPC (cost per link click)","CPM (cost per 1,000 impressions)","Cost per purchase",Purchases,"Link clicks","Cost per unique link click","Reporting starts","Reporting ends"
"NSN - ABOS - Awareness Kanto","Broad Tokyo + Kanagawa + Saitama","JD Desk - Red Curtain",2025-11-27,https://abunchofstuff.com/ja,not_delivering,ad,0,0,0,"7-day click or 1-day view",,,0,,2025-11-22,2025-11-27,,,,,0,2,,,2025-11-27,2025-11-27
"Test - NSN - ABOS - Awareness Kanto","Interest Based in Tokyo + Kanagawa + Saitama","JD Painting with Graphic",2025-11-26,https://abunchofstuff.com/ja,not_delivering,ad,1811,1859,1.02650469,"7-day click or 1-day view",Reach,1811,568,313.63887355,2025-11-22,2025-11-27,,,142,305.54061323,,,4,,2025-11-26,2025-11-26
"NSN - ABOS - Awareness Kanto","Broad Tokyo + Kanagawa + Saitama","Hello Tokyo",2025-11-26,https://abunchofstuff.com/ja,not_delivering,ad,27035,27705,1.02478269,"7-day click or 1-day view",Reach,27035,13508,499.64860366,2025-11-22,2025-11-27,,,201.6119403,487.5654214,,,67,,2025-11-26,2025-11-26
"NSN - ABOS - Awareness Kanto","Broad Tokyo + Kanagawa + Saitama","Hanging sketches",2025-11-26,https://abunchofstuff.com/ja,not_delivering,ad,2964,2964,1,"7-day click or 1-day view",Reach,2964,1104,372.46963563,2025-11-22,2025-11-27,,,78.85714286,372.46963563,,,14,,2025-11-26,2025-11-26
"NSN - ABOS - Awareness Kanto","Broad Tokyo + Kanagawa + Saitama","JD Desk - Red Curtain",2025-11-26,https://abunchofstuff.com/ja,not_delivering,ad,20195,20767,1.02832384,"7-day click or 1-day view",Reach,20195,9414,466.15498886,2025-11-22,2025-11-27,,,147.09375,453.31535609,,,64,,2025-11-26,2025-11-26
"NSN - ABOS - Awareness Kanto","Broad Tokyo + Kanagawa + Saitama","JD Photography - Copy",2025-11-26,https://abunchofstuff.com/ja,not_delivering,ad,17,18,1.05882353,"7-day click or 1-day view",Reach,17,8,470.58823529,2025-11-22,2025-11-27,,,,444.44444444,,,,,2025-11-26,2025-11-26
"Test - NSN - ABOS - Awareness Kanto","Interest Based in Tokyo + Kanagawa + Saitama","JD with Skull Confetti",2025-11-26,https://abunchofstuff.com/ja,not_delivering,ad,2179,2307,1.05874254,"7-day click or 1-day view",Reach,2179,872,400.18357045,2025-11-22,2025-11-27,,,174.4,377.98006068,,,5,,2025-11-26,2025-11-26
"Test - NSN - ABOS - Awareness Kanto","Interest Based in Tokyo + Kanagawa + Saitama","JD Desk - Red Curtain",2025-11-26,https://abunchofstuff.com/ja,not_delivering,ad,3261,3332,1.02177246,"7-day click or 1-day view",Reach,3261,1266,388.22447102,2025-11-22,2025-11-27,,,316.5,379.95198079,,,4,,2025-11-26,2025-11-26
"Test - NSN - ABOS - Awareness Kanto","Interest Based in Tokyo + Kanagawa + Saitama","Hello Tokyo",2025-11-26,https://abunchofstuff.com/ja,not_delivering,ad,18374,18711,1.01834113,"7-day click or 1-day view",Reach,18374,6009,327.03820616,2025-11-22,2025-11-27,,,231.11538462,321.14798781,,,26,,2025-11-26,2025-11-26
"Test - NSN - ABOS - Awareness Kanto","Interest Based in Tokyo + Kanagawa + Saitama","Hanging sketches",2025-11-26,https://abunchofstuff.com/ja,not_delivering,ad,51957,52597,1.01231788,"7-day click or 1-day view",Reach,51957,38479,740.59318282,2025-11-22,2025-11-27,,,320.65833333,731.58164914,,,120,,2025-11-26,2025-11-26
"ABOS Traffic","Johnny Depp Interest Group","Black and white photo",2025-11-26,https://abunchofstuff.com/ja,not_delivering,ad,69,71,1.02898551,"7-day click or 1-day view","Landing page views",8,59,7.375,2025-11-22,2025-11-28,,,59,830.98591549,,,1,,2025-11-26,2025-11-26
"ABOS Traffic","Johnny Depp Interest Group","JD announcement date post",2025-11-26,https://abunchofstuff.com/ja,not_delivering,ad,14,14,1,"7-day click or 1-day view",,,8,,2025-11-22,2025-11-28,,,,571.42857143,8,1,,,2025-11-26,2025-11-26
"NSN - ABOS - Awareness Kanto","Broad Tokyo + Kanagawa + Saitama","JD Photograph with graphics",2025-11-26,https://abunchofstuff.com/ja,not_delivering,ad,2214,2257,1.01942186,"7-day click or 1-day view",Reach,2214,912,411.92411924,2025-11-22,2025-11-27,,,65.14285714,404.07620735,,,14,,2025-11-26,2025-11-26
Sales,"Tokyo + Adjacent Broad",Poster,2025-11-26,https://abunchofstuff.com/ja,not_delivering,ad,22787,24399,1.07074209,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",2,24522,12261,2025-11-26,2025-11-28,,,47.15769231,1005.04119021,12261,2,520,,2025-11-26,2025-11-26
"Test - NSN - ABOS - Awareness Kanto","Interest Based in Tokyo + Kanagawa + Saitama","JD with Skull Confetti",2025-11-25,https://abunchofstuff.com/ja,not_delivering,ad,8323,8487,1.01970443,"7-day click or 1-day view",Reach,8323,1345,161.60038448,2025-11-22,2025-11-27,,,112.08333333,158.47767173,,,12,,2025-11-25,2025-11-25
"NSN - ABOS - Awareness Kanto","Broad Tokyo + Kanagawa + Saitama","Hello Tokyo",2025-11-25,https://abunchofstuff.com/ja,not_delivering,ad,9619,10028,1.04252001,"7-day click or 1-day view",Reach,9619,2443,253.97650483,2025-11-22,2025-11-27,,,203.58333333,243.61786996,,,12,,2025-11-25,2025-11-25
"NSN - ABOS - Awareness Kanto","Broad Tokyo + Kanagawa + Saitama","JD Photography",2025-11-25,https://abunchofstuff.com/ja,not_delivering,ad,365,372,1.01917808,"7-day click or 1-day view",Reach,365,61,167.12328767,2025-11-22,2025-11-27,,,30.5,163.97849462,,,2,,2025-11-25,2025-11-25
"NSN - ABOS - Awareness Kanto","Broad Tokyo + Kanagawa + Saitama","Hanging sketches",2025-11-25,https://abunchofstuff.com/ja,not_delivering,ad,3190,3267,1.02413793,"7-day click or 1-day view",Reach,3190,604,189.34169279,2025-11-22,2025-11-27,,,67.11111111,184.87909397,,,9,,2025-11-25,2025-11-25
"NSN - ABOS - Awareness Kanto","Broad Tokyo + Kanagawa + Saitama","JD Desk - Red Curtain",2025-11-25,https://abunchofstuff.com/ja,not_delivering,ad,3592,3677,1.0236637,"7-day click or 1-day view",Reach,3592,780,217.14922049,2025-11-22,2025-11-27,,,86.66666667,212.12945336,,,9,,2025-11-25,2025-11-25
"NSN - ABOS - Awareness Kanto","Broad Tokyo + Kanagawa + Saitama","JD Photography - Copy",2025-11-25,https://abunchofstuff.com/ja,not_delivering,ad,2238,2310,1.03217158,"7-day click or 1-day view",Reach,2238,393,175.60321716,2025-11-22,2025-11-27,,,24.5625,170.12987013,,,16,,2025-11-25,2025-11-25
"Test - NSN - ABOS - Awareness Kanto","Interest Based in Tokyo + Kanagawa + Saitama","JD Photography - Copy",2025-11-25,https://abunchofstuff.com/ja,not_delivering,ad,1279,1285,1.00469116,"7-day click or 1-day view",Reach,1279,166,129.78889758,2025-11-22,2025-11-27,,,55.33333333,129.18287938,,,3,,2025-11-25,2025-11-25
"Test - NSN - ABOS - Awareness Kanto","Interest Based in Tokyo + Kanagawa + Saitama","JD Photography",2025-11-25,https://abunchofstuff.com/ja,not_delivering,ad,2,2,1,"7-day click or 1-day view",Reach,2,0,0,2025-11-22,2025-11-27,,,,0,,,,,2025-11-25,2025-11-25
"Test - NSN - ABOS - Awareness Kanto","Interest Based in Tokyo + Kanagawa + Saitama","JD Painting with Graphic",2025-11-25,https://abunchofstuff.com/ja,not_delivering,ad,3476,3492,1.00460299,"7-day click or 1-day view",Reach,3476,513,147.58342923,2025-11-22,2025-11-27,,,171,146.90721649,,,3,,2025-11-25,2025-11-25
"ABOS Traffic","Johnny Depp Interest Group","Black and white photo",2025-11-25,https://abunchofstuff.com/ja,not_delivering,ad,3,3,1,"7-day click or 1-day view",,,1,,2025-11-22,2025-11-28,,,,333.33333333,,,,,2025-11-25,2025-11-25
"ABOS Traffic","Johnny Depp Interest Group","JD Photograph with graphics - Copy",2025-11-25,https://abunchofstuff.com/ja,not_delivering,ad,0,0,0,"7-day click or 1-day view",,,0,,2025-11-22,2025-11-28,,,,,0,1,,,2025-11-25,2025-11-25
"ABOS Traffic","Johnny Depp Interest Group","JD Photography - Copy 2",2025-11-25,https://abunchofstuff.com/ja,not_delivering,ad,62,62,1,"7-day click or 1-day view","Landing page views",1,17,17,2025-11-22,2025-11-28,,,8.5,274.19354839,,,2,,2025-11-25,2025-11-25
"ABOS Traffic","Johnny Depp Interest Group","JD announcement date post",2025-11-25,https://abunchofstuff.com/ja,not_delivering,ad,7,7,1,"7-day click or 1-day view","Landing page views",1,0,0,2025-11-22,2025-11-28,,,0,0,,,1,,2025-11-25,2025-11-25
"Test - NSN - ABOS - Awareness Kanto","Interest Based in Tokyo + Kanagawa + Saitama","Hanging sketches",2025-11-25,https://abunchofstuff.com/ja,not_delivering,ad,6813,6813,1,"7-day click or 1-day view",Reach,6813,946,138.85219433,2025-11-22,2025-11-27,,,94.6,138.85219433,,,10,,2025-11-25,2025-11-25
"Test - NSN - ABOS - Awareness Kanto","Interest Based in Tokyo + Kanagawa + Saitama","JD Desk - Red Curtain",2025-11-25,https://abunchofstuff.com/ja,not_delivering,ad,4104,4187,1.02022417,"7-day click or 1-day view",Reach,4104,608,148.14814815,2025-11-22,2025-11-27,,,152,145.21136852,,,4,,2025-11-25,2025-11-25
"Test - NSN - ABOS - Awareness Kanto","Interest Based in Tokyo + Kanagawa + Saitama","Hello Tokyo",2025-11-25,https://abunchofstuff.com/ja,not_delivering,ad,10118,10261,1.01413323,"7-day click or 1-day view",Reach,10118,1663,164.36054556,2025-11-22,2025-11-27,,,166.3,162.06997369,,,10,,2025-11-25,2025-11-25
"ABOS Traffic","Johnny Depp Interest Group","JD with Skeleton Confetti",2025-11-24,https://abunchofstuff.com/ja,not_delivering,ad,3,3,1,"7-day click or 1-day view",,,0,,2025-11-22,2025-11-28,,,,0,,,,,2025-11-24,2025-11-24
"NSN - ABOS - Awareness Kanto","Broad Tokyo + Kanagawa + Saitama","JD Photograph with graphics",2025-11-24,https://abunchofstuff.com/ja,not_delivering,ad,81,82,1.01234568,"7-day click or 1-day view",Reach,81,15,185.18518519,2025-11-22,2025-11-27,,,,182.92682927,,,,,2025-11-24,2025-11-24
"ABOS Traffic","Johnny Depp Interest Group","JD Painting with Graphic - Copy",2025-11-24,https://abunchofstuff.com/ja,not_delivering,ad,3,3,1,"7-day click or 1-day view",,,0,,2025-11-22,2025-11-28,,,,0,,,,,2025-11-24,2025-11-24
"ABOS Traffic","Johnny Depp Interest Group","JD announcement date post",2025-11-24,https://abunchofstuff.com/ja,not_delivering,ad,35,36,1.02857143,"7-day click or 1-day view","Landing page views",4,22,5.5,2025-11-22,2025-11-28,,,22,611.11111111,,,1,,2025-11-24,2025-11-24
"ABOS Traffic","Johnny Depp Interest Group","JD Photograph with graphics - Copy",2025-11-24,https://abunchofstuff.com/ja,not_delivering,ad,41,42,1.02439024,"7-day click or 1-day view","Landing page views",1,14,14,2025-11-22,2025-11-28,,,7,333.33333333,,,2,,2025-11-24,2025-11-24
"ABOS Traffic","Johnny Depp Interest Group","Hanging sketches - Copy",2025-11-24,https://abunchofstuff.com/ja,not_delivering,ad,2,2,1,"7-day click or 1-day view",,,2,,2025-11-22,2025-11-28,,,,1000,,,,,2025-11-24,2025-11-24
"ABOS Traffic","Johnny Depp Interest Group","Hello Tokyo - Copy",2025-11-24,https://abunchofstuff.com/ja,not_delivering,ad,55,56,1.01818182,"7-day click or 1-day view","Landing page views",4,18,4.5,2025-11-22,2025-11-28,,,4.5,321.42857143,,,4,,2025-11-24,2025-11-24
"ABOS Traffic","Johnny Depp Interest Group","JD Desk - Red Curtain - Copy",2025-11-24,https://abunchofstuff.com/ja,not_delivering,ad,3,3,1,"7-day click or 1-day view",,,0,,2025-11-22,2025-11-28,,,,0,,,,,2025-11-24,2025-11-24
"ABOS Traffic","Johnny Depp Interest Group","JD Photography - Copy 2",2025-11-24,https://abunchofstuff.com/ja,not_delivering,ad,81,82,1.01234568,"7-day click or 1-day view","Landing page views",1,12,12,2025-11-22,2025-11-28,,,6,146.34146341,,,2,,2025-11-24,2025-11-24
"ABOS Traffic","Johnny Depp Interest Group","Black and white photo",2025-11-24,https://abunchofstuff.com/ja,not_delivering,ad,62,65,1.0483871,"7-day click or 1-day view","Landing page views",1,14,14,2025-11-22,2025-11-28,,,14,215.38461538,,,1,,2025-11-24,2025-11-24
"NSN - ABOS - Awareness Kanto","Broad Tokyo + Kanagawa + Saitama","JD Photography",2025-11-24,https://abunchofstuff.com/ja,not_delivering,ad,638,645,1.01097179,"7-day click or 1-day view",Reach,638,111,173.98119122,2025-11-22,2025-11-27,,,37,172.09302326,,,3,,2025-11-24,2025-11-24
"NSN - ABOS - Awareness Kanto","Broad Tokyo + Kanagawa + Saitama","JD Desk - Red Curtain",2025-11-24,https://abunchofstuff.com/ja,not_delivering,ad,4096,4172,1.01855469,"7-day click or 1-day view",Reach,4096,849,207.27539062,2025-11-22,2025-11-27,,,169.8,203.49952061,,,5,,2025-11-24,2025-11-24
"NSN - ABOS - Awareness Kanto","Broad Tokyo + Kanagawa + Saitama","Hello Tokyo",2025-11-24,https://abunchofstuff.com/ja,not_delivering,ad,4662,4776,1.02445302,"7-day click or 1-day view",Reach,4662,948,203.34620335,2025-11-22,2025-11-27,,,135.42857143,198.49246231,,,7,,2025-11-24,2025-11-24
"NSN - ABOS - Awareness Kanto","Broad Tokyo + Kanagawa + Saitama","JD Painting with Graphic",2025-11-24,https://abunchofstuff.com/ja,not_delivering,ad,203,205,1.00985222,"7-day click or 1-day view",Reach,203,40,197.04433498,2025-11-22,2025-11-27,,,40,195.12195122,,,1,,2025-11-24,2025-11-24
"Test - NSN - ABOS - Awareness Kanto","Interest Based in Tokyo + Kanagawa + Saitama","Hanging sketches",2025-11-24,https://abunchofstuff.com/ja,not_delivering,ad,3255,3331,1.02334869,"7-day click or 1-day view",Reach,3255,400,122.88786482,2025-11-22,2025-11-27,,,44.44444444,120.08405884,,,9,,2025-11-24,2025-11-24
"NSN - ABOS - Awareness Kanto","Broad Tokyo + Kanagawa + Saitama","Hanging sketches",2025-11-24,https://abunchofstuff.com/ja,not_delivering,ad,3342,3475,1.03979653,"7-day click or 1-day view",Reach,3342,675,201.97486535,2025-11-22,2025-11-27,,,168.75,194.24460432,,,4,,2025-11-24,2025-11-24
"NSN - ABOS - Awareness Kanto","Broad Tokyo + Kanagawa + Saitama","JD with Skull Confetti",2025-11-24,https://abunchofstuff.com/ja,not_delivering,ad,253,257,1.01581028,"7-day click or 1-day view",Reach,253,44,173.91304348,2025-11-22,2025-11-27,,,,171.20622568,,,,,2025-11-24,2025-11-24
"NSN - ABOS - Awareness Kanto","Broad Tokyo + Kanagawa + Saitama","JD Photography - Copy",2025-11-24,https://abunchofstuff.com/ja,not_delivering,ad,615,625,1.01626016,"7-day click or 1-day view",Reach,615,122,198.37398374,2025-11-22,2025-11-27,,,122,195.2,,,1,,2025-11-24,2025-11-24
"Test - NSN - ABOS - Awareness Kanto","Interest Based in Tokyo + Kanagawa + Saitama","JD Photography - Copy",2025-11-24,https://abunchofstuff.com/ja,not_delivering,ad,1038,1064,1.02504817,"7-day click or 1-day view",Reach,1038,124,119.46050096,2025-11-22,2025-11-27,,,41.33333333,116.54135338,,,3,,2025-11-24,2025-11-24
"Test - NSN - ABOS - Awareness Kanto","Interest Based in Tokyo + Kanagawa + Saitama","JD with Skull Confetti",2025-11-24,https://abunchofstuff.com/ja,not_delivering,ad,2241,2262,1.00937082,"7-day click or 1-day view",Reach,2241,295,131.63766176,2025-11-22,2025-11-27,,,98.33333333,130.41556145,,,3,,2025-11-24,2025-11-24
"Test - NSN - ABOS - Awareness Kanto","Interest Based in Tokyo + Kanagawa + Saitama","JD Photography",2025-11-24,https://abunchofstuff.com/ja,not_delivering,ad,285,286,1.00350877,"7-day click or 1-day view",Reach,285,35,122.80701754,2025-11-22,2025-11-27,,,35,122.37762238,,,1,,2025-11-24,2025-11-24
"Test - NSN - ABOS - Awareness Kanto","Interest Based in Tokyo + Kanagawa + Saitama","JD Painting with Graphic",2025-11-24,https://abunchofstuff.com/ja,not_delivering,ad,2696,2752,1.02077151,"7-day click or 1-day view",Reach,2696,356,132.04747774,2025-11-22,2025-11-27,,,118.66666667,129.36046512,,,3,,2025-11-24,2025-11-24
"Test - NSN - ABOS - Awareness Kanto","Interest Based in Tokyo + Kanagawa + Saitama","Hello Tokyo",2025-11-24,https://abunchofstuff.com/ja,not_delivering,ad,25467,26031,1.02214631,"7-day click or 1-day view",Reach,25467,3393,133.23124043,2025-11-22,2025-11-27,,,308.45454545,130.34458914,,,11,,2025-11-24,2025-11-24
"Test - NSN - ABOS - Awareness Kanto","Interest Based in Tokyo + Kanagawa + Saitama","JD Desk - Red Curtain",2025-11-24,https://abunchofstuff.com/ja,not_delivering,ad,2553,2597,1.01723463,"7-day click or 1-day view",Reach,2553,318,124.55934195,2025-11-22,2025-11-27,,,79.5,122.44897959,,,4,,2025-11-24,2025-11-24
"Test - NSN - ABOS - Awareness Kanto","Interest Based in Tokyo + Kanagawa + Saitama","JD Photograph with graphics",2025-11-24,https://abunchofstuff.com/ja,not_delivering,ad,200,201,1.005,"7-day click or 1-day view",Reach,200,13,65,2025-11-22,2025-11-27,,,,64.67661692,,,,,2025-11-24,2025-11-24
"NSN - ABOS - Awareness Kanto","Broad Tokyo + Kanagawa + Saitama","JD Desk - Red Curtain",2025-11-23,https://abunchofstuff.com/ja,not_delivering,ad,2128,2128,1,"7-day click or 1-day view",Reach,2128,384,180.45112782,2025-11-22,2025-11-27,,,54.85714286,180.45112782,,,7,,2025-11-23,2025-11-23
"Test - NSN - ABOS - Awareness Kanto","Interest Based in Tokyo + Kanagawa + Saitama","JD with Skull Confetti",2025-11-23,https://abunchofstuff.com/ja,not_delivering,ad,513,523,1.01949318,"7-day click or 1-day view",Reach,513,59,115.00974659,2025-11-22,2025-11-27,,,59,112.81070746,,,1,,2025-11-23,2025-11-23
"Test - NSN - ABOS - Awareness Kanto","Interest Based in Tokyo + Kanagawa + Saitama","JD Photography - Copy",2025-11-23,https://abunchofstuff.com/ja,not_delivering,ad,1582,1615,1.02085967,"7-day click or 1-day view",Reach,1582,183,115.67635904,2025-11-22,2025-11-27,,,183,113.3126935,,,1,,2025-11-23,2025-11-23
"NSN - ABOS - Awareness Kanto","Broad Tokyo + Kanagawa + Saitama","JD Photography - Copy",2025-11-23,https://abunchofstuff.com/ja,not_delivering,ad,430,434,1.00930233,"7-day click or 1-day view",Reach,430,77,179.06976744,2025-11-22,2025-11-27,,,77,177.41935484,,,1,,2025-11-23,2025-11-23
"Test - NSN - ABOS - Awareness Kanto","Interest Based in Tokyo + Kanagawa + Saitama","JD Photography",2025-11-23,https://abunchofstuff.com/ja,not_delivering,ad,857,886,1.03383897,"7-day click or 1-day view",Reach,857,72,84.01400233,2025-11-22,2025-11-27,,,72,81.26410835,,,1,,2025-11-23,2025-11-23
"NSN - ABOS - Awareness Kanto","Broad Tokyo + Kanagawa + Saitama","JD with Skull Confetti",2025-11-23,https://abunchofstuff.com/ja,not_delivering,ad,261,270,1.03448276,"7-day click or 1-day view",Reach,261,41,157.08812261,2025-11-22,2025-11-27,,,,151.85185185,,,,,2025-11-23,2025-11-23
"NSN - ABOS - Awareness Kanto","Broad Tokyo + Kanagawa + Saitama","Hanging sketches",2025-11-23,https://abunchofstuff.com/ja,not_delivering,ad,2097,2159,1.02956605,"7-day click or 1-day view",Reach,2097,344,164.0438722,2025-11-22,2025-11-27,,,86,159.33302455,,,4,,2025-11-23,2025-11-23
"NSN - ABOS - Awareness Kanto","Broad Tokyo + Kanagawa + Saitama","JD Photography",2025-11-23,https://abunchofstuff.com/ja,not_delivering,ad,636,654,1.02830189,"7-day click or 1-day view",Reach,636,86,135.22012579,2025-11-22,2025-11-27,,,86,131.49847095,,,1,,2025-11-23,2025-11-23
