"Campaign name","Ad set name","Ad name",Day,"Website URL","Delivery status","Delivery level",Reach,Impressions,Frequency,"Attribution setting","Result type",Results,"Amount spent (JPY)","Cost per result",Starts,Ends,"Purchases rate per link clicks","Purchases rate per landing page views","CPC (cost per link click)","CPM (cost per 1,000 impressions)","Cost per purchase",Purchases,"Link clicks","Cost per unique link click","Reporting starts","Reporting ends"
,,,,,,,740110,944301,1.27589277,,mixed,,603108,,,,1.04155871,1.12573509,31.25235776,638.68194569,3000.53731343,201,19298,35.53337654,2025-11-01,2025-11-30
Sales,"Web Audience Retarg","Black and white photo - Copy",2025-11-30,https://www.abunchofstuff.com/tickets,not_delivering,ad,272,316,1.16176471,"7-day click, 1-day view, or 1-day engaged-view",,,562,,2025-11-27,2026-01-13,,,37.46666667,1778.48101266,,,15,,2025-11-30,2025-11-30
Sales,"Account Engagers - Broad","JD Gpainting with graphics",2025-11-30,https://www.abunchofstuff.com/tickets,not_delivering,ad,1034,1123,1.0860735,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",1,1405,1405,2025-11-29,2026-01-13,,,52.03703704,1251.11308994,1405,1,27,,2025-11-30,2025-11-30
Sales,"Account Engagers - Broad","Black and white photo",2025-11-30,https://www.abunchofstuff.com/tickets,not_delivering,ad,100,107,1.07,"7-day click, 1-day view, or 1-day engaged-view",,,139,,2025-11-29,2026-01-13,,,46.33333333,1299.06542056,,,3,,2025-11-30,2025-11-30
Sales,"Account Engagers - Broad","JD Graffiti Paint",2025-11-30,https://www.abunchofstuff.com/tickets,not_delivering,ad,317,325,1.02523659,"7-day click, 1-day view, or 1-day engaged-view",,,462,,2025-11-29,2026-01-13,,,30.8,1421.53846154,,,15,,2025-11-30,2025-11-30
Sales,"Account Engagers - Broad","Poster [Redirect link]",2025-11-30,https://www.abunchofstuff.com/tickets,not_delivering,ad,9532,10824,1.13554343,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",9,10253,1139.22222222,2025-11-29,2026-01-13,,,32.96784566,947.24685883,1139.22222222,9,311,,2025-11-30,2025-11-30
Sales,"Account Engagers - Broad",Poster,2025-11-30,https://abunchofstuff.com/ja,not_delivering,ad,11924,13657,1.14533714,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",12,13142,1095.16666667,2025-11-29,2026-01-13,,,31.66746988,962.29040053,1095.16666667,12,415,,2025-11-30,2025-11-30
Sales,"Account Engagers - Broad","Poster [Redirect link]",2025-11-29,https://www.abunchofstuff.com/tickets,not_delivering,ad,83,85,1.02409639,"7-day click, 1-day view, or 1-day engaged-view",,,45,,2025-11-29,2026-01-13,,,9,529.41176471,,,5,,2025-11-29,2025-11-29
Sales,"Account Engagers - Broad",Poster,2025-11-29,https://abunchofstuff.com/ja,not_delivering,ad,2310,2679,1.15974026,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",3,2406,802,2025-11-29,2026-01-13,,,23.82178218,898.09630459,802,3,101,,2025-11-29,2025-11-29
Sales,"Tokyo + Adjacent Broad",Poster,2025-11-29,https://abunchofstuff.com/ja,not_delivering,ad,0,0,0,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",2,0,0,2025-11-26,2025-11-28,,,,,0,2,,,2025-11-29,2025-11-29
"ABOS Traffic","Johnny Depp Interest Group","JD announcement date post",2025-11-29,https://abunchofstuff.com/ja,not_delivering,ad,0,0,0,"7-day click or 1-day view",,,0,,2025-11-22,2025-11-28,,,,,0,1,,,2025-11-29,2025-11-29
"ABOS Traffic","Johnny Depp Interest Group","JD Desk - Red Curtain - Copy",2025-11-29,https://abunchofstuff.com/ja,not_delivering,ad,0,0,0,"7-day click or 1-day view",,,0,,2025-11-22,2025-11-28,,,,,0,1,,,2025-11-29,2025-11-29
"ABOS Traffic","Johnny Depp Interest Group","JD Desk - Red Curtain - Copy",2025-11-28,https://abunchofstuff.com/ja,not_delivering,ad,0,0,0,"7-day click or 1-day view",,,0,,2025-11-22,2025-11-28,,,,,0,1,,,2025-11-28,2025-11-28
"NSN - ABOS - Awareness Kanto","Broad Tokyo + Kanagawa + Saitama","JD Desk - Red Curtain",2025-11-28,https://abunchofstuff.com/ja,not_delivering,ad,0,0,0,"7-day click or 1-day view",,,0,,2025-11-22,2025-11-27,,,,,0,2,,,2025-11-28,2025-11-28
"ABOS Traffic","Johnny Depp Interest Group","Black and white photo",2025-11-28,https://abunchofstuff.com/ja,not_delivering,ad,138,138,1,"7-day click or 1-day view","Landing page views",2,92,46,2025-11-22,2025-11-28,,,92,666.66666667,,,1,,2025-11-28,2025-11-28
"ABOS Traffic","Johnny Depp Interest Group","JD announcement date post",2025-11-28,https://abunchofstuff.com/ja,not_delivering,ad,133,133,1,"7-day click or 1-day view","Landing page views",5,98,19.6,2025-11-22,2025-11-28,,,19.6,736.84210526,,,5,,2025-11-28,2025-11-28
Sales,"Tokyo + Adjacent Broad",Poster,2025-11-28,https://abunchofstuff.com/ja,not_delivering,ad,279,284,1.01792115,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",2,230,115,2025-11-26,2025-11-28,,,46,809.85915493,115,2,5,,2025-11-28,2025-11-28
Sales,"Web Audience Retarg","Poster [Redirect link]",2025-11-28,https://www.abunchofstuff.com/tickets,not_delivering,ad,3,3,1,"7-day click, 1-day view, or 1-day engaged-view",,,1,,2025-11-27,2026-01-13,,,,333.33333333,,,,,2025-11-28,2025-11-28
Sales,"Web Audience Retarg",Poster,2025-11-28,https://abunchofstuff.com/ja,not_delivering,ad,1,1,1,"7-day click, 1-day view, or 1-day engaged-view",,,0,,2025-11-27,2026-01-13,,,,0,,,,,2025-11-28,2025-11-28
Sales,"Tokyo + Adjacent Broad",Poster,2025-11-27,https://abunchofstuff.com/ja,not_delivering,ad,18027,18423,1.02196705,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",10,16652,1665.2,2025-11-26,2025-11-28,,,56.44745763,903.8701623,1665.2,10,295,,2025-11-27,2025-11-27
"NSN - ABOS - Awareness Kanto","Broad Tokyo + Kanagawa + Saitama","JD Photograph with graphics",2025-11-27,https://abunchofstuff.com/ja,not_delivering,ad,0,0,0,"7-day click or 1-day view",,,0,,2025-11-22,2025-11-27,,,,,0,1,,,2025-11-27,2025-11-27
"ABOS Traffic","Johnny Depp Interest Group","JD announcement date post",2025-11-27,https://abunchofstuff.com/ja,not_delivering,ad,1632,1662,1.01838235,"7-day click or 1-day view","Landing page views",11,2738,248.90909091,2025-11-22,2025-11-28,,,210.61538462,1647.41275572,,,13,,2025-11-27,2025-11-27
"ABOS Traffic","Johnny Depp Interest Group","Hello Tokyo - Copy",2025-11-27,https://abunchofstuff.com/ja,not_delivering,ad,967,967,1,"7-day click or 1-day view","Landing page views",10,1048,104.8,2025-11-22,2025-11-28,,,74.85714286,1083.76421923,,,14,,2025-11-27,2025-11-27
"ABOS Traffic","Johnny Depp Interest Group","JD with Skeleton Confetti",2025-11-27,https://abunchofstuff.com/ja,not_delivering,ad,211,212,1.00473934,"7-day click or 1-day view","Landing page views",2,825,412.5,2025-11-22,2025-11-28,,,412.5,3891.50943396,,,2,,2025-11-27,2025-11-27
"ABOS Traffic","Johnny Depp Interest Group","Black and white photo",2025-11-27,https://abunchofstuff.com/ja,not_delivering,ad,2077,2082,1.00240732,"7-day click or 1-day view","Landing page views",23,2821,122.65217391,2025-11-22,2025-11-28,,,217,1354.94716619,,,13,,2025-11-27,2025-11-27
