"Campaign name","Ad set name","Ad name",Day,"Website URL","Delivery status","Delivery level",Reach,Impressions,Frequency,"Attribution setting","Result type",Results,"Amount spent (JPY)","Cost per result",Starts,Ends,"Purchases rate per link clicks","Purchases rate per landing page views","CPC (cost per link click)","CPM (cost per 1,000 impressions)","Cost per purchase",Purchases,"Link clicks","Cost per unique link click","Reporting starts","Reporting ends"
,,,,,,,352535,1026880,2.91284553,,mixed,,926789,,,,2.74669775,3.21495157,36.00578866,902.52901994,1310.87553041,707,25740,45.94660651,2025-12-01,2025-12-31
"ABOS Traffic - #2","Broad JP Cities","JD announcement date post",2025-12-31,https://abunchofstuff.com/ja,not_delivering,ad,1,1,1,"7-day click or 1-day view",,,0,,2025-12-26,2026-01-13,,,,0,,,,,2025-12-31,2025-12-31
"ABOS Sales Campaign",Retarg,Poster,2025-12-31,https://abunchofstuff.com/ja,not_delivering,ad,0,0,0,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",1,0,0,2025-12-06,2026-01-13,,,,,0,1,,,2025-12-31,2025-12-31
"ABOS Sales Campaign",Retarg,"JD Graffiti Paint - Copy",2025-12-30,https://abunchofstuff.com/ja,not_delivering,ad,0,0,0,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",1,0,0,2025-12-06,2026-01-13,,,,,0,1,,,2025-12-30,2025-12-30
"ABOS Traffic - #2","Broad JP Cities","Hello Tokyo - Copy",2025-12-29,https://abunchofstuff.com/ja,not_delivering,ad,2,2,1,"7-day click or 1-day view",,,0,,2025-12-26,2026-01-13,,,,0,,,,,2025-12-29,2025-12-29
Sales,"Zaiko Test - Account Engagers - Broad","Black and white photo",2025-12-29,https://johnnydepp-abos.zaiko.io/,not_delivering,ad,24,25,1.04166667,"7-day click, 1-day view, or 1-day engaged-view",,,11,,2025-12-08,2025-12-31,,,,440,,,,,2025-12-29,2025-12-29
Sales,"Web Audience Retarg","Poster [Redirect link]",2025-12-29,https://www.abunchofstuff.com/tickets,not_delivering,ad,7,7,1,"7-day click, 1-day view, or 1-day engaged-view",,,3,,2025-11-27,2026-01-13,,,,428.57142857,,,,,2025-12-29,2025-12-29
"ABOS Traffic - #2","Broad JP Cities","JD with Skeleton Confetti",2025-12-29,https://abunchofstuff.com/ja,not_delivering,ad,46,46,1,"7-day click or 1-day view","Landing page views",3,12,4,2025-12-26,2026-01-13,,,4,260.86956522,,,3,,2025-12-29,2025-12-29
"ABOS Traffic - #2","Broad JP Cities","Black and white photo",2025-12-29,https://abunchofstuff.com/ja,not_delivering,ad,12,12,1,"7-day click or 1-day view","Landing page views",1,4,4,2025-12-26,2026-01-13,,,4,333.33333333,,,1,,2025-12-29,2025-12-29
"ABOS Traffic - #2","Broad JP Cities","JD announcement date post",2025-12-29,https://abunchofstuff.com/ja,not_delivering,ad,1,1,1,"7-day click or 1-day view",,,1,,2025-12-26,2026-01-13,,,,1000,,,,,2025-12-29,2025-12-29
Sales,"Web Audience Retarg","JD Pose with Graphic - Copy",2025-12-28,https://abunchofstuff.com/ja,not_delivering,ad,1,1,1,"7-day click, 1-day view, or 1-day engaged-view",,,6,,2025-11-27,2026-01-13,,,,6000,,,,,2025-12-28,2025-12-28
Sales,"Web Audience Retarg","Poster [Redirect link]",2025-12-28,https://www.abunchofstuff.com/tickets,not_delivering,ad,158,178,1.12658228,"7-day click, 1-day view, or 1-day engaged-view",,,153,,2025-11-27,2026-01-13,,,153,859.5505618,,,1,,2025-12-28,2025-12-28
Sales,"Web Audience Retarg","Black and white photo - Copy",2025-12-28,https://www.abunchofstuff.com/tickets,not_delivering,ad,5,5,1,"7-day click, 1-day view, or 1-day engaged-view",,,3,,2025-11-27,2026-01-13,,,,600,,,,,2025-12-28,2025-12-28
"ABOS Sales Campaign","Zaiko + InBound (English)","JD Pose with Graphic",2025-12-28,https://abunchofstuff.com/ja,active,ad,0,0,0,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",1,0,0,2025-12-06,2026-01-19,,,,,0,1,,,2025-12-28,2025-12-28
Sales,"Zaiko Test - Account Engagers - Broad","Black and white photo",2025-12-28,https://johnnydepp-abos.zaiko.io/,not_delivering,ad,473,554,1.17124736,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",1,340,340,2025-12-08,2025-12-31,,,28.33333333,613.71841155,340,1,12,,2025-12-28,2025-12-28
Sales,"JD Interest","Poster [Redirect link]",2025-12-28,https://www.abunchofstuff.com/tickets,not_delivering,ad,50,50,1,"7-day click or 1-day view",,,31,,2025-12-17,2026-01-13,,,,620,,,,,2025-12-28,2025-12-28
Sales,"JD Interest","JD Pose with Graphic - Copy",2025-12-28,https://abunchofstuff.com/ja,not_delivering,ad,21,24,1.14285714,"7-day click or 1-day view",,,16,,2025-12-17,2026-01-13,,,,666.66666667,,,,,2025-12-28,2025-12-28
Sales,"JD Interest","Black and white photo - Copy",2025-12-28,https://www.abunchofstuff.com/tickets,not_delivering,ad,38,41,1.07894737,"7-day click or 1-day view",,,30,,2025-12-17,2026-01-13,,,30,731.70731707,,,1,,2025-12-28,2025-12-28
Sales,"Web Audience Retarg","JD w/ Confetti - Copy",2025-12-28,https://abunchofstuff.com/ja,not_delivering,ad,2,2,1,"7-day click, 1-day view, or 1-day engaged-view",,,0,,2025-11-27,2026-01-13,,,,0,,,,,2025-12-28,2025-12-28
Sales,"Web Audience Retarg",Poster,2025-12-28,https://abunchofstuff.com/ja,not_delivering,ad,42,45,1.07142857,"7-day click, 1-day view, or 1-day engaged-view",,,18,,2025-11-27,2026-01-13,,,6,400,,,3,,2025-12-28,2025-12-28
"ABOS Traffic - #2","Broad JP Cities","Hello Tokyo - Copy",2025-12-28,https://abunchofstuff.com/ja,not_delivering,ad,86,94,1.09302326,"7-day click or 1-day view","Landing page views",5,31,6.2,2025-12-26,2026-01-13,,,4.42857143,329.78723404,,,7,,2025-12-28,2025-12-28
