"Campaign name","Ad set name","Ad name",Day,"Website URL","Delivery status","Delivery level",Reach,Impressions,Frequency,"Attribution setting","Result type",Results,"Amount spent (JPY)","Cost per result",Starts,Ends,"Purchases rate per link clicks","Purchases rate per landing page views","CPC (cost per link click)","CPM (cost per 1,000 impressions)","Cost per purchase",Purchases,"Link clicks","Cost per unique link click","Reporting starts","Reporting ends"
"ABOS Traffic - #2","Broad JP Cities","JD Painting with Graphic - Copy",2025-12-28,https://abunchofstuff.com/ja,not_delivering,ad,12,12,1,"7-day click or 1-day view",,,2,,2025-12-26,2026-01-13,,,,166.66666667,,,,,2025-12-28,2025-12-28
"ABOS Traffic - #2","Broad JP Cities","JD with Skeleton Confetti",2025-12-28,https://abunchofstuff.com/ja,not_delivering,ad,1386,1386,1,"7-day click or 1-day view","Landing page views",44,299,6.79545455,2025-12-26,2026-01-13,,,6.95348837,215.72871573,,,43,,2025-12-28,2025-12-28
"ABOS Traffic - #2","Broad JP Cities","Black and white photo",2025-12-28,https://abunchofstuff.com/ja,not_delivering,ad,128,129,1.0078125,"7-day click or 1-day view","Landing page views",6,18,3,2025-12-26,2026-01-13,,,3,139.53488372,,,6,,2025-12-28,2025-12-28
"ABOS Traffic - #2","Broad JP Cities","JD Photograph with graphics - Copy",2025-12-28,https://abunchofstuff.com/ja,not_delivering,ad,40,41,1.025,"7-day click or 1-day view",,,7,,2025-12-26,2026-01-13,,,,170.73170732,,,,,2025-12-28,2025-12-28
"ABOS Traffic - #2","Broad JP Cities","JD Photography - Copy 2",2025-12-28,https://abunchofstuff.com/ja,not_delivering,ad,23,23,1,"7-day click or 1-day view",,,2,,2025-12-26,2026-01-13,,,,86.95652174,,,,,2025-12-28,2025-12-28
"ABOS Traffic - #2","Broad JP Cities","Hanging sketches - Copy",2025-12-28,https://abunchofstuff.com/ja,not_delivering,ad,9,9,1,"7-day click or 1-day view",,,1,,2025-12-26,2026-01-13,,,,111.11111111,,,,,2025-12-28,2025-12-28
"ABOS Traffic - #2","Broad JP Cities","JD Desk - Red Curtain - Copy",2025-12-28,https://abunchofstuff.com/ja,not_delivering,ad,13,13,1,"7-day click or 1-day view","Landing page views",1,0,0,2025-12-26,2026-01-13,,,0,0,0,2,1,,2025-12-28,2025-12-28
"ABOS Traffic - #2","Broad JP Cities","JD announcement date post",2025-12-28,https://abunchofstuff.com/ja,not_delivering,ad,39,40,1.02564103,"7-day click or 1-day view",,,7,,2025-12-26,2026-01-13,,,,175,,,,,2025-12-28,2025-12-28
Sales,"Zaiko Test - Account Engagers - Broad","Poster [Redirect link]",2025-12-27,https://johnnydepp-abos.zaiko.io/,not_delivering,ad,4,4,1,"7-day click, 1-day view, or 1-day engaged-view",,,3,,2025-12-08,2025-12-31,,,,750,,,,,2025-12-27,2025-12-27
"ABOS Sales Campaign",Retarg,"JD Spray Painting Ground - Copy 2",2025-12-27,https://abunchofstuff.com/ja,not_delivering,ad,0,0,0,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",2,0,0,2025-12-06,2026-01-13,,,,,0,2,,,2025-12-27,2025-12-27
Sales,"Zaiko Test - Account Engagers - Broad",Poster,2025-12-27,https://abunchofstuff.com/ja,not_delivering,ad,3,3,1,"7-day click, 1-day view, or 1-day engaged-view",,,0,,2025-12-08,2025-12-31,,,,0,,,,,2025-12-27,2025-12-27
Sales,"Web Audience Retarg","Poster [Redirect link]",2025-12-27,https://www.abunchofstuff.com/tickets,not_delivering,ad,621,741,1.19323671,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",2,504,252,2025-11-27,2026-01-13,,,63,680.16194332,252,2,8,,2025-12-27,2025-12-27
Sales,"Zaiko Test - Account Engagers - Broad","Black and white photo",2025-12-27,https://johnnydepp-abos.zaiko.io/,not_delivering,ad,242,257,1.06198347,"7-day click, 1-day view, or 1-day engaged-view",,,146,,2025-12-08,2025-12-31,,,48.66666667,568.09338521,,,3,,2025-12-27,2025-12-27
"ABOS Sales Campaign","Zaiko + InBound (English)","JD Pose with Graphic",2025-12-27,https://abunchofstuff.com/ja,active,ad,0,0,0,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",1,0,0,2025-12-06,2026-01-19,,,,,0,1,,,2025-12-27,2025-12-27
Sales,"Web Audience Retarg","JD Graffiti Paint - Copy",2025-12-27,https://www.abunchofstuff.com/tickets,not_delivering,ad,1,1,1,"7-day click, 1-day view, or 1-day engaged-view",,,0,,2025-11-27,2026-01-13,,,,0,,,,,2025-12-27,2025-12-27
Sales,"Web Audience Retarg","JD Spray Painting Ground - Copy 2",2025-12-27,https://abunchofstuff.com/ja,not_delivering,ad,58,62,1.06896552,"7-day click, 1-day view, or 1-day engaged-view",,,68,,2025-11-27,2026-01-13,,,,1096.77419355,,,,,2025-12-27,2025-12-27
"ABOS Traffic - #2","Broad JP Cities","Hello Tokyo - Copy",2025-12-27,https://abunchofstuff.com/ja,not_delivering,ad,157,170,1.08280255,"7-day click or 1-day view","Landing page views",9,47,5.22222222,2025-12-26,2026-01-13,,,5.875,276.47058824,,,8,,2025-12-27,2025-12-27
"ABOS Traffic - #2","Broad JP Cities","JD Desk - Red Curtain - Copy",2025-12-27,https://abunchofstuff.com/ja,not_delivering,ad,26,29,1.11538462,"7-day click or 1-day view","Landing page views",1,7,7,2025-12-26,2026-01-13,,,7,241.37931034,,,1,,2025-12-27,2025-12-27
"ABOS Traffic - #2","Broad JP Cities","JD with Skeleton Confetti",2025-12-27,https://abunchofstuff.com/ja,not_delivering,ad,557,559,1.00359066,"7-day click or 1-day view","Landing page views",25,109,4.36,2025-12-26,2026-01-13,,,3.89285714,194.99105546,,,28,,2025-12-27,2025-12-27
"ABOS Traffic - #2","Broad JP Cities","Black and white photo",2025-12-27,https://abunchofstuff.com/ja,not_delivering,ad,169,172,1.01775148,"7-day click or 1-day view","Landing page views",7,23,3.28571429,2025-12-26,2026-01-13,,,3.28571429,133.72093023,,,7,,2025-12-27,2025-12-27
"ABOS Traffic - #2","Broad JP Cities","JD Photograph with graphics - Copy",2025-12-27,https://abunchofstuff.com/ja,not_delivering,ad,76,78,1.02631579,"7-day click or 1-day view","Landing page views",4,19,4.75,2025-12-26,2026-01-13,,,3.8,243.58974359,,,5,,2025-12-27,2025-12-27
"ABOS Traffic - #2","Broad JP Cities","JD Photography - Copy 2",2025-12-27,https://abunchofstuff.com/ja,not_delivering,ad,51,51,1,"7-day click or 1-day view","Landing page views",1,6,6,2025-12-26,2026-01-13,,,6,117.64705882,,,1,,2025-12-27,2025-12-27
"ABOS Traffic - #2","Broad JP Cities","Hanging sketches - Copy",2025-12-27,https://abunchofstuff.com/ja,not_delivering,ad,10,10,1,"7-day click or 1-day view",,,3,,2025-12-26,2026-01-13,,,,300,,,,,2025-12-27,2025-12-27
"ABOS Traffic - #2","Broad JP Cities","JD announcement date post",2025-12-27,https://abunchofstuff.com/ja,not_delivering,ad,28,28,1,"7-day click or 1-day view",,,2,,2025-12-26,2026-01-13,,,,71.42857143,,,,,2025-12-27,2025-12-27
"ABOS Traffic - #2","Broad JP Cities","JD Painting with Graphic - Copy",2025-12-27,https://abunchofstuff.com/ja,not_delivering,ad,64,66,1.03125,"7-day click or 1-day view","Landing page views",2,14,7,2025-12-26,2026-01-13,,,7,212.12121212,,,2,,2025-12-27,2025-12-27
"ABOS Sales Campaign",Retarg,"JD Graffiti Paint - Copy",2025-12-26,https://abunchofstuff.com/ja,not_delivering,ad,58,67,1.15517241,"7-day click, 1-day view, or 1-day engaged-view",,,76,,2025-12-06,2026-01-13,,,76,1134.32835821,,,1,,2025-12-26,2025-12-26
"ABOS Sales Campaign",Retarg,"JD sitting desk",2025-12-26,https://abunchofstuff.com/ja,not_delivering,ad,26,31,1.19230769,"7-day click, 1-day view, or 1-day engaged-view",,,34,,2025-12-06,2026-01-13,,,,1096.77419355,,,,,2025-12-26,2025-12-26
"ABOS Sales Campaign",Retarg,"JD Spray Painting Ground - Copy 2",2025-12-26,https://abunchofstuff.com/ja,not_delivering,ad,10,10,1,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",2,11,5.5,2025-12-06,2026-01-13,,,11,1100,5.5,2,1,,2025-12-26,2025-12-26
"ABOS Sales Campaign",Retarg,Poster,2025-12-26,https://abunchofstuff.com/ja,not_delivering,ad,145,167,1.15172414,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",1,155,155,2025-12-06,2026-01-13,,,51.66666667,928.14371257,155,1,3,,2025-12-26,2025-12-26
Sales,"Web Audience Retarg","Poster [Redirect link]",2025-12-26,https://www.abunchofstuff.com/tickets,not_delivering,ad,356,435,1.22191011,"7-day click, 1-day view, or 1-day engaged-view",,,522,,2025-11-27,2026-01-13,,,104.4,1200,,,5,,2025-12-26,2025-12-26
"ABOS Sales Campaign",Retarg,"Poster [Redirect link]",2025-12-26,https://www.abunchofstuff.com/tickets,not_delivering,ad,101,110,1.08910891,"7-day click, 1-day view, or 1-day engaged-view",,,144,,2025-12-06,2026-01-13,,,72,1309.09090909,,,2,,2025-12-26,2025-12-26
"ABOS Sales Campaign",Retarg,"JD Pose with Graphic",2025-12-26,https://abunchofstuff.com/ja,not_delivering,ad,55,65,1.18181818,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",1,102,102,2025-12-06,2026-01-13,,,,1569.23076923,102,1,,,2025-12-26,2025-12-26
"ABOS Sales Campaign",Retarg,"JD w/ Confetti",2025-12-26,https://abunchofstuff.com/ja,not_delivering,ad,39,40,1.02564103,"7-day click, 1-day view, or 1-day engaged-view",,,52,,2025-12-06,2026-01-13,,,17.33333333,1300,,,3,,2025-12-26,2025-12-26
"ABOS Sales Campaign",Retarg,"JD Spray Painting Ground - Copy",2025-12-26,https://abunchofstuff.com/ja,not_delivering,ad,3,3,1,"7-day click, 1-day view, or 1-day engaged-view",,,0,,2025-12-06,2026-01-13,,,,0,,,,,2025-12-26,2025-12-26
Sales,"Web Audience Retarg","JD w/ Confetti - Copy",2025-12-26,https://abunchofstuff.com/ja,not_delivering,ad,3,4,1.33333333,"7-day click, 1-day view, or 1-day engaged-view",,,7,,2025-11-27,2026-01-13,,,,1750,,,,,2025-12-26,2025-12-26
"ABOS Traffic - #2","Broad JP Cities","JD Photography - Copy 2",2025-12-26,https://abunchofstuff.com/ja,not_delivering,ad,45,47,1.04444444,"7-day click or 1-day view",,,7,,2025-12-26,2026-01-13,,,,148.93617021,,,,,2025-12-26,2025-12-26
Sales,"Web Audience Retarg","JD Spray Painting Ground - Copy 2",2025-12-26,https://abunchofstuff.com/ja,not_delivering,ad,103,132,1.2815534,"7-day click, 1-day view, or 1-day engaged-view",,,170,,2025-11-27,2026-01-13,,,,1287.87878788,,,,,2025-12-26,2025-12-26
"ABOS Traffic - #2","Broad JP Cities","JD Desk - Red Curtain - Copy",2025-12-26,https://abunchofstuff.com/ja,not_delivering,ad,62,62,1,"7-day click or 1-day view",,,12,,2025-12-26,2026-01-13,,,,193.5483871,,,,,2025-12-26,2025-12-26
"ABOS Traffic - #2","Broad JP Cities","JD Painting with Graphic - Copy",2025-12-26,https://abunchofstuff.com/ja,not_delivering,ad,23,23,1,"7-day click or 1-day view",,,4,,2025-12-26,2026-01-13,,,,173.91304348,,,,,2025-12-26,2025-12-26
"ABOS Traffic - #2","Broad JP Cities","JD with Skeleton Confetti",2025-12-26,https://abunchofstuff.com/ja,not_delivering,ad,52,52,1,"7-day click or 1-day view","Landing page views",3,9,3,2025-12-26,2026-01-13,,,2.25,173.07692308,,,4,,2025-12-26,2025-12-26
"ABOS Traffic - #2","Broad JP Cities","Black and white photo",2025-12-26,https://abunchofstuff.com/ja,not_delivering,ad,2823,2855,1.01133546,"7-day click or 1-day view","Landing page views",39,1480,37.94871795,2025-12-26,2026-01-13,,,35.23809524,518.38879159,,,42,,2025-12-26,2025-12-26
"ABOS Traffic - #2","Broad JP Cities","JD Photograph with graphics - Copy",2025-12-26,https://abunchofstuff.com/ja,not_delivering,ad,24,24,1,"7-day click or 1-day view","Landing page views",2,3,1.5,2025-12-26,2026-01-13,,,1.5,125,,,2,,2025-12-26,2025-12-26
"ABOS Traffic - #2","Broad JP Cities","Hello Tokyo - Copy",2025-12-26,https://abunchofstuff.com/ja,not_delivering,ad,34,35,1.02941176,"7-day click or 1-day view","Landing page views",3,9,3,2025-12-26,2026-01-13,,,2.25,257.14285714,,,4,,2025-12-26,2025-12-26
"ABOS Traffic - #2","Broad JP Cities","Hanging sketches - Copy",2025-12-26,https://abunchofstuff.com/ja,not_delivering,ad,287,290,1.01045296,"7-day click or 1-day view","Landing page views",1,107,107,2025-12-26,2026-01-13,,,35.66666667,368.96551724,,,3,,2025-12-26,2025-12-26
"ABOS Traffic - #2","Broad JP Cities","JD announcement date post",2025-12-26,https://abunchofstuff.com/ja,not_delivering,ad,1428,1428,1,"7-day click or 1-day view","Landing page views",17,526,30.94117647,2025-12-26,2026-01-13,,,29.22222222,368.34733894,,,18,,2025-12-26,2025-12-26
"ABOS Sales Campaign",Retarg,"JD Graffiti Paint - Copy",2025-12-25,https://abunchofstuff.com/ja,not_delivering,ad,111,121,1.09009009,"7-day click, 1-day view, or 1-day engaged-view",,,186,,2025-12-06,2026-01-13,,,186,1537.19008264,,,1,,2025-12-25,2025-12-25
"ABOS Sales Campaign",Retarg,"JD w/ Confetti",2025-12-25,https://abunchofstuff.com/ja,not_delivering,ad,353,393,1.11331445,"7-day click, 1-day view, or 1-day engaged-view",,,469,,2025-12-06,2026-01-13,,,67,1193.38422392,,,7,,2025-12-25,2025-12-25
"ABOS Sales Campaign",Retarg,"JD Pose with Graphic",2025-12-25,https://abunchofstuff.com/ja,not_delivering,ad,576,610,1.05902778,"7-day click, 1-day view, or 1-day engaged-view",,,577,,2025-12-06,2026-01-13,,,57.7,945.90163934,,,10,,2025-12-25,2025-12-25
"ABOS Sales Campaign",Retarg,"Poster [Redirect link]",2025-12-25,https://www.abunchofstuff.com/tickets,not_delivering,ad,892,988,1.10762332,"7-day click, 1-day view, or 1-day engaged-view",,,1128,,2025-12-06,2026-01-13,,,86.76923077,1141.70040486,,,13,,2025-12-25,2025-12-25
"ABOS Sales Campaign","Zaiko + InBound (English)","JD Spray Painting Ground - Copy 2",2025-12-25,https://johnnydepp-abos.zaiko.io/,inactive,ad,0,0,0,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",1,0,0,2025-12-06,2026-01-19,,,,,0,1,,,2025-12-25,2025-12-25
Sales,"Web Audience Retarg","Poster [Redirect link]",2025-12-25,https://www.abunchofstuff.com/tickets,not_delivering,ad,923,1056,1.14409534,"7-day click, 1-day view, or 1-day engaged-view",,,1140,,2025-11-27,2026-01-13,,,103.63636364,1079.54545455,,,11,,2025-12-25,2025-12-25
"ABOS Sales Campaign",Retarg,Poster,2025-12-25,https://abunchofstuff.com/ja,not_delivering,ad,468,503,1.07478632,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",2,764,382,2025-12-06,2026-01-13,,,69.45454545,1518.88667992,382,2,11,,2025-12-25,2025-12-25
"ABOS Sales Campaign",Retarg,"JD sitting desk",2025-12-25,https://abunchofstuff.com/ja,not_delivering,ad,82,87,1.06097561,"7-day click, 1-day view, or 1-day engaged-view",,,123,,2025-12-06,2026-01-13,,,,1413.79310345,,,,,2025-12-25,2025-12-25
"ABOS Sales Campaign",Retarg,"JD Spray Painting Ground - Copy",2025-12-25,https://abunchofstuff.com/ja,not_delivering,ad,50,55,1.1,"7-day click, 1-day view, or 1-day engaged-view",,,64,,2025-12-06,2026-01-13,,,,1163.63636364,,,,,2025-12-25,2025-12-25
Sales,"Web Audience Retarg","JD Spray Painting Ground - Copy 2",2025-12-25,https://abunchofstuff.com/ja,not_delivering,ad,74,82,1.10810811,"7-day click, 1-day view, or 1-day engaged-view",,,125,,2025-11-27,2026-01-13,,,41.66666667,1524.3902439,,,3,,2025-12-25,2025-12-25
"ABOS Sales Campaign",Retarg,"JD Spray Painting Ground - Copy 2",2025-12-25,https://abunchofstuff.com/ja,not_delivering,ad,56,60,1.07142857,"7-day click, 1-day view, or 1-day engaged-view",,,81,,2025-12-06,2026-01-13,,,,1350,,,,,2025-12-25,2025-12-25
Sales,"Zaiko Test - Account Engagers - Broad","Poster [Redirect link]",2025-12-24,https://johnnydepp-abos.zaiko.io/,not_delivering,ad,43,44,1.02325581,"7-day click, 1-day view, or 1-day engaged-view",,,22,,2025-12-08,2025-12-31,,,,500,,,,,2025-12-24,2025-12-24
"ABOS Sales Campaign",Retarg,"JD w/ Confetti",2025-12-24,https://abunchofstuff.com/ja,not_delivering,ad,1152,1337,1.16059028,"7-day click, 1-day view, or 1-day engaged-view",,,1360,,2025-12-06,2026-01-13,,,68,1017.2026926,,,20,,2025-12-24,2025-12-24
"ABOS Sales Campaign",Retarg,"JD Pose with Graphic",2025-12-24,https://abunchofstuff.com/ja,not_delivering,ad,1505,1837,1.22059801,"7-day click, 1-day view, or 1-day engaged-view",,,2042,,2025-12-06,2026-01-13,,,92.81818182,1111.59499183,,,22,,2025-12-24,2025-12-24
"ABOS Sales Campaign",Retarg,"Poster [Redirect link]",2025-12-24,https://www.abunchofstuff.com/tickets,not_delivering,ad,1990,2397,1.20452261,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",2,2933,1466.5,2025-12-06,2026-01-13,,,88.87878788,1223.6128494,1466.5,2,33,,2025-12-24,2025-12-24
Sales,"Zaiko Test - Account Engagers - Broad","JD Graffiti Paint",2025-12-24,https://johnnydepp-abos.zaiko.io/,not_delivering,ad,174,185,1.06321839,"7-day click, 1-day view, or 1-day engaged-view",,,203,,2025-12-08,2025-12-31,,,67.66666667,1097.2972973,,,3,,2025-12-24,2025-12-24
Sales,"Zaiko Test - Account Engagers - Broad","Black and white photo",2025-12-24,https://johnnydepp-abos.zaiko.io/,not_delivering,ad,657,695,1.05783866,"7-day click, 1-day view, or 1-day engaged-view",,,575,,2025-12-08,2025-12-31,,,95.83333333,827.3381295,,,6,,2025-12-24,2025-12-24
Sales,"Zaiko Test - Account Engagers - Broad","JD Gpainting with graphics",2025-12-24,https://johnnydepp-abos.zaiko.io/,not_delivering,ad,631,694,1.09984152,"7-day click, 1-day view, or 1-day engaged-view",,,746,,2025-12-08,2025-12-31,,,74.6,1074.92795389,,,10,,2025-12-24,2025-12-24
Sales,"Zaiko Test - Account Engagers - Broad",Poster,2025-12-24,https://abunchofstuff.com/ja,not_delivering,ad,1915,2134,1.11436031,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",1,1308,1308,2025-12-08,2025-12-31,,,45.10344828,612.93345829,1308,1,29,,2025-12-24,2025-12-24
"ABOS Sales Campaign",Retarg,"JD Graffiti Paint - Copy",2025-12-24,https://abunchofstuff.com/ja,not_delivering,ad,197,217,1.10152284,"7-day click, 1-day view, or 1-day engaged-view",,,334,,2025-12-06,2026-01-13,,,167,1539.17050691,,,2,,2025-12-24,2025-12-24
"ABOS Sales Campaign",Retarg,Poster,2025-12-24,https://abunchofstuff.com/ja,not_delivering,ad,794,946,1.19143577,"7-day click, 1-day view, or 1-day engaged-view",,,1485,,2025-12-06,2026-01-13,,,74.25,1569.76744186,,,20,,2025-12-24,2025-12-24
"ABOS Sales Campaign",Retarg,"JD Spray Painting Ground - Copy 2",2025-12-24,https://abunchofstuff.com/ja,not_delivering,ad,62,68,1.09677419,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",2,105,52.5,2025-12-06,2026-01-13,,,35,1544.11764706,52.5,2,3,,2025-12-24,2025-12-24
"ABOS Sales Campaign",Retarg,"JD sitting desk",2025-12-24,https://abunchofstuff.com/ja,not_delivering,ad,316,400,1.26582278,"7-day click, 1-day view, or 1-day engaged-view",,,581,,2025-12-06,2026-01-13,,,145.25,1452.5,,,4,,2025-12-24,2025-12-24
Sales,"Web Audience Retarg","JD Pose with Graphic - Copy",2025-12-24,https://abunchofstuff.com/ja,not_delivering,ad,6,6,1,"7-day click, 1-day view, or 1-day engaged-view",,,1,,2025-11-27,2026-01-13,,,,166.66666667,,,,,2025-12-24,2025-12-24
Sales,"Zaiko Test - Account Engagers - Broad","JD Gpainting with graphics",2025-12-23,https://johnnydepp-abos.zaiko.io/,not_delivering,ad,1033,1165,1.12778316,"7-day click, 1-day view, or 1-day engaged-view",,,1143,,2025-12-08,2025-12-31,,,87.92307692,981.11587983,,,13,,2025-12-23,2025-12-23
Sales,"Web Audience Retarg",Poster,2025-12-23,https://abunchofstuff.com/ja,not_delivering,ad,0,0,0,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",1,0,0,2025-11-27,2026-01-13,,,,,0,1,,,2025-12-23,2025-12-23
"ABOS Sales Campaign",Retarg,"JD w/ Confetti",2025-12-23,https://abunchofstuff.com/ja,not_delivering,ad,256,278,1.0859375,"7-day click, 1-day view, or 1-day engaged-view",,,343,,2025-12-06,2026-01-13,,,34.3,1233.81294964,,,10,,2025-12-23,2025-12-23
"ABOS Sales Campaign","Zaiko + InBound (English)","JD Pose with Graphic",2025-12-23,https://abunchofstuff.com/ja,active,ad,0,0,0,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",1,0,0,2025-12-06,2026-01-19,,,,,0,1,,,2025-12-23,2025-12-23
"ABOS Sales Campaign",Retarg,"JD Pose with Graphic",2025-12-23,https://abunchofstuff.com/ja,not_delivering,ad,2298,2713,1.18059182,"7-day click, 1-day view, or 1-day engaged-view",,,3235,,2025-12-06,2026-01-13,,,73.52272727,1192.4069296,,,44,,2025-12-23,2025-12-23
"ABOS Sales Campaign",Retarg,"Poster [Redirect link]",2025-12-23,https://www.abunchofstuff.com/tickets,not_delivering,ad,2612,3115,1.19257274,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",1,3457,3457,2025-12-06,2026-01-13,,,80.39534884,1109.79133226,3457,1,43,,2025-12-23,2025-12-23
