"Campaign name","Ad set name","Ad name","Delivery status","Delivery level",Reach,Impressions,Frequency,"Attribution setting","Result type",Results,"Amount spent (JPY)","Cost per result",Starts,Ends,"Purchases rate per link clicks","Purchases rate per landing page views","CPC (cost per link click)","CPM (cost per 1,000 impressions)","Cost per purchase",Purchases,"Link clicks","Cost per unique link click","Cost per add to cart","Cost per checkout initiated","Reporting starts","Reporting ends"
"ABOS Sales Campaign","Retarg [engagers] - Jan 14",Poster,not_delivering,ad,346,357,1.03179191,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",1,252,252,2025-12-06,2026-01-19,7.69230769,8.33333333,19.38461538,705.88235294,252,1,13,22.90909091,252,252,2026-01-01,2026-01-15
"ABOS Sales Campaign","Zaiko + InBound (English)","JD Pose with Graphic",not_delivering,ad,6149,9363,1.52268662,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",3,6849,2283,2025-12-06,2026-01-19,2.38095238,4.6875,54.35714286,731.49631528,2283,3,126,61.15178571,1369.8,1369.8,2026-01-01,2026-01-15
"ABOS Sales Campaign","Zaiko + InBound (English)","Poster [Redirect link] + related Media",not_delivering,ad,1875,2275,1.21333333,"7-day click, 1-day view, or 1-day engaged-view",,,1680,,2025-12-06,2026-01-19,0,0,80,738.46153846,,,21,80,,1680,2026-01-01,2026-01-15
"ABOS Sales 2.0","Web Retarg 2.0","JD painting with graphics 2.0 [redirect]",not_delivering,ad,140,152,1.08571429,"7-day click, 1-day view, or 1-day engaged-view",,,113,,2026-01-09,Ongoing,0,0,113,743.42105263,,,1,113,,,2026-01-01,2026-01-15
"ABOS Sales 2.0",Lookalikes+Engagers,"T-Shirt Promo [Post]",not_delivering,ad,7113,9976,1.40250246,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",1,7724,7724,2026-01-09,Ongoing,0.76923077,3.125,59.41538462,774.25821973,7724,1,130,65.45762712,7724,7724,2026-01-01,2026-01-15
"ABOS Sales 2.0","Web Retarg 2.0","Coming of Age [Post]",not_delivering,ad,1462,1662,1.13679891,"7-day click, 1-day view, or 1-day engaged-view",,,1308,,2026-01-09,Ongoing,0,0,65.4,787.00361011,,,20,68.84210526,,,2026-01-01,2026-01-15
"ABOS Sales Campaign","Zaiko + InBound (English)","Opening Weekend Video - Copy",not_delivering,ad,7713,11851,1.53649682,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",5,9463,1892.6,2025-12-06,2026-01-19,1.74825175,3.33333333,33.08741259,798.49801704,1892.6,5,286,42.24553571,788.58333333,1351.85714286,2026-01-01,2026-01-15
"ABOS Sales Campaign","Zaiko + InBound (English)","JD w/ Confetti",not_delivering,ad,1987,2670,1.34373427,"7-day click, 1-day view, or 1-day engaged-view",,,2192,,2025-12-06,2026-01-19,0,0,73.06666667,820.97378277,,,30,81.18518519,438.4,1096,2026-01-01,2026-01-15
"ABOS Sales Campaign","Zaiko + InBound (English)","JD Konnichiwa Video",not_delivering,ad,4117,5681,1.37988827,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",3,4896,1632,2025-12-06,2026-01-19,2.2556391,3.84615385,36.81203008,861.82010209,1632,3,133,42.57391304,816,979.2,2026-01-01,2026-01-15
"ABOS Sales Campaign","Zaiko + InBound (English)","AR Experience [Post] - Copy",not_delivering,ad,298,321,1.07718121,"7-day click, 1-day view, or 1-day engaged-view",,,282,,2025-12-06,2026-01-19,0,0,35.25,878.5046729,,,8,40.28571429,,,2026-01-01,2026-01-15
"ABOS Sales Campaign","Retarg [engagers] - Jan 14","JD sitting desk",not_delivering,ad,255,275,1.07843137,"7-day click, 1-day view, or 1-day engaged-view",,,253,,2025-12-06,2026-01-19,0,0,253,920,,,1,253,,,2026-01-01,2026-01-15
"ABOS Sales Campaign","Retarg [engagers] - Jan 14","AR Experience [Post]",not_delivering,ad,219,238,1.08675799,"7-day click, 1-day view, or 1-day engaged-view",,,221,,2025-12-06,2026-01-19,0,0,55.25,928.57142857,,,4,55.25,,,2026-01-01,2026-01-15
"ABOS Sales 2.0","Web Retarg 2.0","JD Spray Painting Ground 2.0",not_delivering,ad,101,117,1.15841584,"7-day click, 1-day view, or 1-day engaged-view",,,111,,2026-01-09,Ongoing,0,0,55.5,948.71794872,,,2,55.5,,,2026-01-01,2026-01-15
"ABOS Sales 2.0",Lookalikes+Engagers,"JD Graffiti Paint 2.0",not_delivering,ad,1126,1207,1.07193606,"7-day click, 1-day view, or 1-day engaged-view",,,1168,,2026-01-09,Ongoing,0,0,233.6,967.68848384,,,5,233.6,,,2026-01-01,2026-01-15
"ABOS Sales Campaign","Zaiko + InBound (English)","JD Graffiti Paint - Copy",not_delivering,ad,512,619,1.20898438,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",1,599,599,2025-12-06,2026-01-19,11.11111111,16.66666667,66.55555556,967.68982229,599,1,9,66.55555556,599,599,2026-01-01,2026-01-15
"ABOS Sales Campaign","Zaiko + InBound (English)","Viewing Bunnyman - Red [Post] - Copy",not_delivering,ad,41,42,1.02439024,"7-day click, 1-day view, or 1-day engaged-view",,,41,,2025-12-06,2026-01-19,0,0,,976.19047619,,,,,,,2026-01-01,2026-01-15
"ABOS Sales Campaign","Zaiko + InBound (English)","JD Spray Painting Ground - Copy",not_delivering,ad,221,244,1.1040724,"7-day click, 1-day view, or 1-day engaged-view",,,243,,2025-12-06,2026-01-19,0,0,121.5,995.90163934,,,2,121.5,,,2026-01-01,2026-01-15
"ABOS Sales 2.0","Web Retarg 2.0","T-Shirt Promo [Post]",not_delivering,ad,3112,5185,1.66613111,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",2,5266,2633,2026-01-09,Ongoing,1.9047619,3.125,50.15238095,1015.6219865,2633,2,105,59.16853933,1316.5,1316.5,2026-01-01,2026-01-15
"ABOS Sales Campaign","Zaiko + InBound (English)","JD sitting desk",not_delivering,ad,788,1184,1.50253807,"7-day click, 1-day view, or 1-day engaged-view",,,1252,,2025-12-06,2026-01-19,0,0,89.42857143,1057.43243243,,,14,113.81818182,,,2026-01-01,2026-01-15
"ABOS Sales Campaign","Zaiko + InBound (English)","JD Painting Video - Copy",not_delivering,ad,1550,2595,1.67419355,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",2,2772,1386,2025-12-06,2026-01-19,2.1978022,4.87804878,30.46153846,1068.20809249,1386,2,91,44.70967742,2772,1386,2026-01-01,2026-01-15
"ABOS Sales Campaign","Retarg [engagers] - Jan 14","JD Pose with Graphic",not_delivering,ad,2,2,1,"7-day click, 1-day view, or 1-day engaged-view",,,3,,2025-12-06,2026-01-19,0,0,,1500,,,,,,,2026-01-01,2026-01-15
"ABOS Sales Campaign","Zaiko + InBound (English)","Coming of Age [Post] - Copy",not_delivering,ad,13,13,1,"7-day click, 1-day view, or 1-day engaged-view",,,23,,2025-12-06,2026-01-19,0,0,,1769.23076923,,,,,,,2026-01-01,2026-01-15
