"Campaign name","Ad set name","Ad name",Day,"Delivery status","Delivery level",Reach,Impressions,Frequency,"Attribution setting","Result type",Results,"Amount spent (JPY)","Cost per result",Starts,Ends,"Purchases rate per link clicks","Purchases rate per landing page views","CPC (cost per link click)","CPM (cost per 1,000 impressions)","Cost per purchase",Purchases,"Link clicks","Cost per unique link click","Cost per add to cart","Cost per checkout initiated","Landing page views","Cost per landing page view","Landing page views rate per link clicks","Unique link clicks","Unique CTR (link click-through rate)","Adds to cart","Checkouts initiated",Leads,"Cost per lead","Result rate",Views,Viewers,"Results rate per link clicks","Ad Delivery","Campaign Delivery","Ad set delivery","Quality ranking","Engagement rate ranking","Video average play time","Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 95%","Video plays at 100%","Cost per 3-second video play","Cost per ThruPlay","Outbound clicks","Unique outbound clicks","CTR (link click-through rate)","Outbound CTR (click-through rate)","Unique outbound CTR (click-through rate)","Unique CTR (all)","Unique clicks (all)","Instagram profile visits","Ad recall lift","Ad recall lift rate",Bid,"Bid type","Buying type","Performance goal",Objective,"Reporting starts","Reporting ends","Campaign Budget","Campaign Budget Type"
"Awareness 2.0","Tokyo & Kanagawa Broad","Opening Day Line Vid [Post] - Copy",2026-02-02,active,ad,3166,3275,1.0344283,"7-day click or 1-day view",Reach,3166,268,84.64939987,2026-01-19,Ongoing,0,0,268,81.83206107,,,1,268,,,1,268,100,1,0.0315856,,,,,96.67175573,3052,2761,316600,active,active,active,Average,-,2,115,31,10,7,7,0.45042017,3.82857143,1,1,0.03053435,0.03053435,0.0315856,0.18951358,6,0,,,,ABSOLUTE_OCPM,AUCTION,Reach,Awareness,2026-02-02,2026-02-02,20000,Daily
"Sales - Copy","Test - Web Audience Retarg (Zaiko)","JD Spray Painting Ground - Copy 2",2026-02-02,not_delivering,ad,7,8,1.14285714,"7-day click, 1-day view, or 1-day engaged-view",,,2,,2026-01-31,Ongoing,0,0,,250,,,,,,,,,0,,,,,,,,8,7,,not_delivering,inactive,not_delivering,-,-,,,,,,,,,,,,,,0,0,0,,,1500,ABSOLUTE_OCPM,AUCTION,Conversions,Sales,2026-02-02,2026-02-02,100000,Daily
"ABOS Traffic 2.0","JD Deep Interest","JD Photograph with graphics - Copy",2026-02-02,active,ad,14839,15328,1.0329537,"7-day click or 1-day view","Landing page views",275,5069,18.43272727,2026-01-09,Ongoing,0,0,16.24679487,330.7019833,,,312,17.01006711,,,275,18.43272727,88.14102564,298,2.00822158,,,41,123.63414634,1.7941023,15332,14839,88.14102564,active,active,active,-,-,,,,,,,,,312,298,2.03549061,2.03549061,2.00822158,2.88429139,428,60,,,,ABSOLUTE_OCPM,AUCTION,"Landing Page Views",Traffic,2026-02-02,2026-02-02,50000,Daily
"New Advantage + With Campaigns","Japan Broad Targeting","JD Konnichiwa Video - Copy",2026-02-02,active,ad,286,289,1.01048951,"7-day click, 1-day view, or 1-day engaged-view",,,174,,2026-02-02,Ongoing,0,0,87,602.07612457,,,2,87,,,1,174,50,2,0.6993007,,,1,174,,293,285,,active,active,active,-,-,7,6,3,3,2,2,6.44444444,21.75,2,2,0.69204152,0.69204152,0.6993007,0.6993007,2,1,,,,ABSOLUTE_OCPM,AUCTION,Conversions,Sales,2026-02-02,2026-02-02,30000,Daily
"Awareness 2.0","Tokyo & Kanagawa Broad","Opening Day Line Vid [Post]",2026-02-02,active,ad,40875,40875,1,"7-day click or 1-day view",Reach,40875,2883,70.53211009,2026-01-19,Ongoing,0,0,240.25,70.53211009,,,12,240.25,,,8,360.375,66.66666667,12,0.0293578,,,,,100,45712,36626,340625,active,active,active,Average,-,4,2351,607,266,170,158,0.22017718,2.47467811,12,12,0.0293578,0.0293578,0.0293578,0.15168196,62,1,,,,ABSOLUTE_OCPM,AUCTION,Reach,Awareness,2026-02-02,2026-02-02,20000,Daily
"Sales - Copy","Test - Web Audience Retarg (Zaiko)","JD Pose with Graphic - Copy",2026-02-02,not_delivering,ad,15,15,1,"7-day click, 1-day view, or 1-day engaged-view",,,7,,2026-01-31,Ongoing,0,0,7,466.66666667,,,1,7,,,,,0,1,6.66666667,,,,,,15,15,,not_delivering,inactive,not_delivering,-,-,,,,,,,,,1,1,6.66666667,6.66666667,6.66666667,6.66666667,1,0,,,1500,ABSOLUTE_OCPM,AUCTION,Conversions,Sales,2026-02-02,2026-02-02,100000,Daily
"Sales - Copy","Zaiko + InBound (English) - Copy","JD Konnichiwa Video",2026-02-02,not_delivering,ad,298,307,1.03020134,"7-day click or 1-day view",,,226,,2026-01-28,Ongoing,0,0,22.6,736.15635179,,,10,25.11111111,,,8,28.25,80,9,3.02013423,,,2,113,,300,280,,not_delivering,inactive,not_delivering,-,-,8,26,15,11,4,3,2.75609756,6.84848485,10,9,3.25732899,3.25732899,3.02013423,4.36241611,13,3,,,1500,ABSOLUTE_OCPM,AUCTION,Conversions,Sales,2026-02-02,2026-02-02,100000,Daily
"Sales - Copy","Custom Audience (Video + Interaction + LP)","JD Video 121",2026-02-02,not_delivering,ad,1196,1374,1.14882943,"7-day click or 1-day view",,,1210,,2026-01-26,Ongoing,0,0,57.61904762,880.64046579,,,21,57.61904762,,,16,75.625,76.19047619,21,1.75585284,,,9,134.44444444,,1441,1145,,not_delivering,inactive,not_delivering,Average,"Above average",5,346,241,206,128,119,2.95843521,10.16806723,21,21,1.52838428,1.52838428,1.75585284,2.9264214,35,17,,,1500,ABSOLUTE_OCPM,AUCTION,Conversions,Sales,2026-02-02,2026-02-02,100000,Daily
"ABOS Traffic 2.0","JD Deep Interest","Black and white photo",2026-02-02,active,ad,45999,48180,1.04741407,"7-day click or 1-day view","Landing page views",1685,15902,9.43738872,2026-01-09,Ongoing,0,0,8.49919829,330.0539643,,,1871,8.8393552,,,1685,9.43738872,90.05879209,1799,3.91095459,,,139,114.4028777,3.49730178,48631,44383,90.05879209,active,active,active,-,-,7,2697,1050,668,257,191,1.08110681,3.95473763,1871,1799,3.88335409,3.88335409,3.91095459,5.91969391,2723,571,,,,ABSOLUTE_OCPM,AUCTION,"Landing Page Views",Traffic,2026-02-02,2026-02-02,50000,Daily
"Sales - Copy","Custom Audience (Video + Interaction + LP)","JD sitting desk - Copy",2026-02-02,not_delivering,ad,1225,1375,1.12244898,"7-day click or 1-day view","Website purchases",1,1131,1131,2026-01-26,Ongoing,4.54545455,4.76190476,51.40909091,822.54545455,1131,1,22,51.40909091,,1131,21,53.85714286,95.45454545,22,1.79591837,,1,12,94.25,0.07272727,1380,1225,4.54545455,not_delivering,inactive,not_delivering,-,-,,,,,,,,,22,22,1.6,1.6,1.79591837,4.08163265,50,9,,,1500,ABSOLUTE_OCPM,AUCTION,Conversions,Sales,2026-02-02,2026-02-02,100000,Daily
"Sales - Copy","Web Audience Retarg","Opening Weekend Video - Copy 2",2026-02-02,not_delivering,ad,79,85,1.07594937,"7-day click, 1-day view, or 1-day engaged-view",,,98,,2026-01-21,Ongoing,0,0,,1152.94117647,,,,,,,,,0,,,,,,,,82,72,,not_delivering,inactive,not_delivering,-,-,4,9,3,,,,4.45454545,19.6,,,,,,2.53164557,2,2,,,1500,ABSOLUTE_OCPM,AUCTION,Conversions,Sales,2026-02-02,2026-02-02,100000,Daily
"New Advantage + With Campaigns","Japan Broad Targeting","JD Video 121 - Copy 2",2026-02-02,active,ad,920,949,1.03152174,"7-day click, 1-day view, or 1-day engaged-view",,,648,,2026-02-02,Ongoing,0,0,72,682.82402529,,,9,81,,,8,81,88.88888889,8,0.86956522,,,4,162,,989,887,,active,active,active,-,-,4,125,80,64,43,37,2.64489796,9.39130435,9,8,0.9483667,0.9483667,0.86956522,1.84782609,17,11,,,,ABSOLUTE_OCPM,AUCTION,Conversions,Sales,2026-02-02,2026-02-02,30000,Daily
"Sales - Copy","Test - Web Audience Retarg (Zaiko)","Poster [Redirect link] + related Media",2026-02-02,not_delivering,ad,69,69,1,"7-day click, 1-day view, or 1-day engaged-view",,,37,,2026-01-31,Ongoing,0,0,37,536.23188406,,,1,37,,,1,37,100,1,1.44927536,,,,,,67,67,,not_delivering,inactive,not_delivering,-,-,6,1,1,1,,,18.5,37,1,1,1.44927536,1.44927536,1.44927536,1.44927536,1,0,,,1500,ABSOLUTE_OCPM,AUCTION,Conversions,Sales,2026-02-02,2026-02-02,100000,Daily
"Sales - Copy","Zaiko + InBound (English) - Copy","Opening Weekend Video - Copy",2026-02-02,not_delivering,ad,349,391,1.12034384,"7-day click or 1-day view",,,340,,2026-01-28,Ongoing,0,0,13.6,869.56521739,,,25,17.89473684,,,17,20,68,19,5.44412607,,,5,68,,385,322,,not_delivering,inactive,not_delivering,-,-,8,92,49,30,16,16,2.125,4.53333333,25,19,6.39386189,6.39386189,5.44412607,8.30945559,29,8,,,1500,ABSOLUTE_OCPM,AUCTION,Conversions,Sales,2026-02-02,2026-02-02,100000,Daily
"Awareness 2.0","Tokyo & Kanagawa Broad",jd-bw-photo,2026-02-02,active,ad,34522,34677,1.00448989,"7-day click or 1-day view",Reach,34522,2572,74.50321534,2026-01-19,Ongoing,0,0,65.94871795,74.17019927,,,39,65.94871795,,,20,128.6,51.28205128,39,0.11297144,,,,,99.55301785,34718,34522,88517.94871795,active,active,active,-,-,,,,,,,,,39,39,0.11246648,0.11246648,0.11297144,0.17959562,62,0,,,,ABSOLUTE_OCPM,AUCTION,Reach,Awareness,2026-02-02,2026-02-02,20000,Daily
"ABOS Traffic 2.0","JD Deep Interest","JD Painting with Graphic - Copy",2026-02-02,active,ad,17,17,1,"7-day click or 1-day view","Landing page views",1,1,1,2026-01-09,Ongoing,0,0,1,58.82352941,,,1,1,,,1,1,100,1,5.88235294,,,,,5.88235294,17,17,100,active,active,active,-,-,,,,,,,,,1,1,5.88235294,5.88235294,5.88235294,5.88235294,1,0,,,,ABSOLUTE_OCPM,AUCTION,"Landing Page Views",Traffic,2026-02-02,2026-02-02,50000,Daily
"Sales - Copy","Zaiko + InBound (English) - Copy","JD Pose with Graphic",2026-02-02,not_delivering,ad,375,439,1.17066667,"7-day click or 1-day view",,,403,,2026-01-28,Ongoing,0,0,67.16666667,917.99544419,,,6,67.16666667,,,5,80.6,83.33333333,6,1.6,,,2,201.5,,442,375,,not_delivering,inactive,not_delivering,-,-,,,,,,,,,6,6,1.3667426,1.3667426,1.6,4,15,5,,,1500,ABSOLUTE_OCPM,AUCTION,Conversions,Sales,2026-02-02,2026-02-02,100000,Daily
"Awareness 2.0","Tokyo & Kanagawa Broad","Immersive Experience [Post]",2026-02-02,active,ad,77806,77906,1.00128525,"7-day click or 1-day view",Reach,77806,4914,63.157083,2026-01-19,Ongoing,0,0,62.20253165,63.07601468,,,79,62.20253165,,,32,153.5625,40.50632911,79,0.10153459,,,,,99.87164018,79689,77806,98488.60759494,active,active,active,"Above average",-,,,,,,,,,79,79,0.10140426,0.10140426,0.10153459,0.11438707,89,0,,,,ABSOLUTE_OCPM,AUCTION,Reach,Awareness,2026-02-02,2026-02-02,20000,Daily
