"Campaign name","Ad set name","Ad name",Day,"Delivery status","Delivery level",Reach,Impressions,Frequency,"Attribution setting","Result type",Results,"Amount spent (JPY)","Cost per result",Starts,Ends,"Purchases rate per link clicks","Purchases rate per landing page views","CPC (cost per link click)","CPM (cost per 1,000 impressions)","Cost per purchase",Purchases,"Link clicks","Cost per unique link click","Cost per add to cart","Cost per checkout initiated","Landing page views","Cost per landing page view","Landing page views rate per link clicks","Unique link clicks","Unique CTR (link click-through rate)","Adds to cart","Checkouts initiated",Leads,"Cost per lead","Result rate",Views,Viewers,"Results rate per link clicks","Ad Delivery","Campaign Delivery","Ad set delivery","Quality ranking","Engagement rate ranking","Video average play time","Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 95%","Video plays at 100%","Cost per 3-second video play","Cost per ThruPlay","Outbound clicks","Unique outbound clicks","CTR (link click-through rate)","Outbound CTR (click-through rate)","Unique outbound CTR (click-through rate)","Unique CTR (all)","Unique clicks (all)","Instagram profile visits","Ad recall lift","Ad recall lift rate",Bid,"Bid type","Buying type","Performance goal",Objective,"Reporting starts","Reporting ends","Campaign Budget","Campaign Budget Type"
"Sales - Copy","Web Audience Retarg","Black and white photo - Copy",2026-01-31,not_delivering,ad,0,0,0,"7-day click, 1-day view, or 1-day engaged-view",,,0,,2026-01-21,Ongoing,0,0,,,,,,,,,,,0,,,,,2,0,,0,0,,not_delivering,inactive,not_delivering,-,-,,,,,,,,,,,,,,,0,0,,,1500,ABSOLUTE_OCPM,AUCTION,Conversions,Sales,2026-01-31,2026-01-31,100000,Daily
"Awareness 2.0","Tokyo & Kanagawa Broad","JD Konnichiwa Vid",2026-01-31,active,ad,15261,15682,1.02758666,"7-day click or 1-day view",Reach,15261,1276,83.61182098,2026-01-19,Ongoing,0,0,255.2,81.36717255,,,5,255.2,,,4,319,80,5,0.03276325,,,2,638,97.31539344,15130,13915,305220,active,active,active,Average,-,2,202,76,42,21,17,0.53771597,4.26755853,5,5,0.03188369,0.03188369,0.03276325,0.72079156,110,0,,,,ABSOLUTE_OCPM,AUCTION,Reach,Awareness,2026-01-31,2026-01-31,20000,Daily
"Sales - Copy","Custom Audience (Video + Interaction + LP)","JD Spray Painting Ground - Copy 2",2026-01-31,not_delivering,ad,12,12,1,"7-day click or 1-day view",,,26,,2026-01-26,Ongoing,0,0,,2166.66666667,,,,,,,,,0,,,,,,,,12,12,,not_delivering,inactive,not_delivering,-,-,,,,,,,,,,,,,,0,0,0,,,1500,ABSOLUTE_OCPM,AUCTION,Conversions,Sales,2026-01-31,2026-01-31,100000,Daily
"Sales - Copy","Zaiko + InBound (English) - Copy","JD sitting desk",2026-01-31,not_delivering,ad,92,101,1.09782609,"7-day click or 1-day view",,,79,,2026-01-28,Ongoing,0,0,13.16666667,782.17821782,,,6,19.75,,,2,39.5,33.33333333,4,4.34782609,,,1,79,,102,92,,not_delivering,inactive,not_delivering,-,-,,,,,,,,,6,4,5.94059406,5.94059406,4.34782609,6.52173913,6,3,,,1500,ABSOLUTE_OCPM,AUCTION,Conversions,Sales,2026-01-31,2026-01-31,100000,Daily
"Sales - Copy","Custom Audience (Video + Interaction + LP)","Opening Weekend Video - Copy 2",2026-01-31,not_delivering,ad,3122,3538,1.13324792,"7-day click or 1-day view","Website purchases",1,3265,3265,2026-01-26,Ongoing,1.12359551,1.35135135,36.68539326,922.83776145,3265,1,89,39.81707317,3265,3265,74,44.12162162,83.14606742,82,2.62652146,1,1,29,112.5862069,0.02826456,3621,2964,1.12359551,not_delivering,inactive,not_delivering,Average,"Above average",9,726,388,256,189,175,2.00306748,5.76855124,89,82,2.51554551,2.51554551,2.62652146,6.75848815,211,60,,,1500,ABSOLUTE_OCPM,AUCTION,Conversions,Sales,2026-01-31,2026-01-31,100000,Daily
"Sales - Copy","Web Audience Retarg",Poster,2026-01-31,not_delivering,ad,0,0,0,"7-day click, 1-day view, or 1-day engaged-view",,,0,,2026-01-21,Ongoing,0,0,,,,,,,,,,,0,,,,,2,0,,0,0,,not_delivering,inactive,not_delivering,-,-,,,,,,,,,,,,,,,0,0,,,1500,ABSOLUTE_OCPM,AUCTION,Conversions,Sales,2026-01-31,2026-01-31,100000,Daily
"Sales - Copy","Zaiko + InBound (English) - Copy","JD Konnichiwa Video",2026-01-31,not_delivering,ad,506,525,1.03754941,"7-day click or 1-day view",,,470,,2026-01-28,Ongoing,0,0,39.16666667,895.23809524,,,12,39.16666667,117.5,235,5,94,41.66666667,12,2.3715415,4,2,5,94,,533,485,,not_delivering,inactive,not_delivering,-,-,10,52,31,23,6,5,2.76470588,6.43835616,12,12,2.28571429,2.28571429,2.3715415,4.34782609,22,9,,,1500,ABSOLUTE_OCPM,AUCTION,Conversions,Sales,2026-01-31,2026-01-31,100000,Daily
"Awareness 2.0","Tokyo & Kanagawa Broad",jd-bw-photo,2026-01-31,active,ad,20759,21603,1.04065706,"7-day click or 1-day view",Reach,20759,1739,83.77089455,2026-01-19,Ongoing,0,0,108.6875,80.49807897,,,16,108.6875,,,8,217.375,50,16,0.077075,,,,,96.09313521,21643,20755,129743.75,active,active,active,-,-,,,,,,,,,16,16,0.07406379,0.07406379,0.077075,0.13488126,28,0,,,,ABSOLUTE_OCPM,AUCTION,Reach,Awareness,2026-01-31,2026-01-31,20000,Daily
"Sales - Copy","Zaiko + InBound (English) - Copy","JD Pose with Graphic",2026-01-31,not_delivering,ad,607,692,1.14003295,"7-day click or 1-day view","Website purchases",1,567,567,2026-01-28,Ongoing,10,12.5,56.7,819.36416185,567,1,10,56.7,567,567,8,70.875,80,10,1.64744646,1,1,8,70.875,0.14450867,695,607,10,not_delivering,inactive,not_delivering,-,-,,,,,,,,,10,10,1.44508671,1.44508671,1.64744646,2.47116969,15,13,,,1500,ABSOLUTE_OCPM,AUCTION,Conversions,Sales,2026-01-31,2026-01-31,100000,Daily
"Sales - Copy","Zaiko + InBound (English) - Copy","JD Graffiti Paint - Copy",2026-01-31,not_delivering,ad,310,328,1.05806452,"7-day click or 1-day view",,,306,,2026-01-28,Ongoing,0,0,76.5,932.92682927,,,4,76.5,,,5,61.2,125,4,1.29032258,,,,,,329,310,,not_delivering,inactive,not_delivering,-,-,,,,,,,,,4,4,1.2195122,1.2195122,1.29032258,3.22580645,10,3,,,1500,ABSOLUTE_OCPM,AUCTION,Conversions,Sales,2026-01-31,2026-01-31,100000,Daily
