"Campaign name","Ad set name","Ad name",Day,"Delivery status","Delivery level",Reach,Impressions,Frequency,"Attribution setting","Result type",Results,"Amount spent (JPY)","Cost per result",Starts,Ends,"Purchases rate per link clicks","Purchases rate per landing page views","CPC (cost per link click)","CPM (cost per 1,000 impressions)","Cost per purchase",Purchases,"Link clicks","Cost per unique link click","Cost per add to cart","Cost per checkout initiated","Landing page views","Cost per landing page view","Landing page views rate per link clicks","Unique link clicks","Unique CTR (link click-through rate)","Reporting starts","Reporting ends"
Sales,"Tokyo + Adjacent Broad",Poster,2025-11-26,not_delivering,ad,22787,24399,1.07074209,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",2,24522,12261,2025-11-26,2025-11-28,0.38461538,0.41322314,47.15769231,1005.04119021,12261,2,520,50.14723926,1362.33333333,139.32954545,484,50.66528926,93.07692308,489,2.14596042,2025-11-26,2025-11-26
"ABOS Traffic","Johnny Depp Interest Group","Black and white photo",2025-11-26,not_delivering,ad,8410,8410,1,"7-day click or 1-day view","Landing page views",337,6533,19.38575668,2025-11-22,2025-11-28,1.0989011,1.18694362,17.9478022,776.81331748,1633.25,4,364,19.38575668,384.29411765,70.24731183,337,19.38575668,92.58241758,337,4.00713436,2025-11-26,2025-11-26
"Test - NSN - ABOS - Awareness Kanto","Interest Based in Tokyo + Kanagawa + Saitama","JD  Painting video",2025-11-26,not_delivering,ad,50778,50778,1,"7-day click or 1-day view",Reach,50778,32927,648.45011619,2025-11-22,2025-11-27,0,0,416.79746835,648.45011619,,,79,416.79746835,,16463.5,63,522.65079365,79.74683544,79,0.15557919,2025-11-26,2025-11-26
"Test - NSN - ABOS - Awareness Kanto","Interest Based in Tokyo + Kanagawa + Saitama","Hanging sketches",2025-11-26,not_delivering,ad,51957,52597,1.01231788,"7-day click or 1-day view",Reach,51957,38479,740.59318282,2025-11-22,2025-11-27,0,0,320.65833333,731.58164914,,,120,320.65833333,,19239.5,86,447.43023256,71.66666667,120,0.23096022,2025-11-26,2025-11-26
Sales,"Tokyo + Adjacent Broad","JD Konnichiwa Video",2025-11-26,not_delivering,ad,9945,10344,1.04012066,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",6,11268,1878,2025-11-26,2025-11-28,1.25,1.25,23.475,1089.32714617,1878,6,480,24.81938326,288.92307692,75.12,480,23.475,100,454,4.56510809,2025-11-26,2025-11-26
"Test - NSN - ABOS - Awareness Kanto","Interest Based in Tokyo + Kanagawa + Saitama","JD Konnichiwa Video",2025-11-26,not_delivering,ad,13335,13335,1,"7-day click or 1-day view",Reach,13335,4231,317.28533933,2025-11-22,2025-11-27,0,0,211.55,317.28533933,,,20,282.06666667,,4231,14,302.21428571,70,15,0.11248594,2025-11-26,2025-11-26
"NSN - ABOS - Awareness Kanto","Broad Tokyo + Kanagawa + Saitama","JD Konnichiwa Video",2025-11-26,not_delivering,ad,5578,5831,1.04535676,"7-day click or 1-day view",Reach,5578,1920,344.20939405,2025-11-22,2025-11-27,0,0,68.57142857,329.27456697,,,28,71.11111111,1920,384,24,80,85.71428571,27,0.48404446,2025-11-26,2025-11-26
"Test - NSN - ABOS - Awareness Kanto","Interest Based in Tokyo + Kanagawa + Saitama","JD Desk - Red Curtain",2025-11-26,not_delivering,ad,3261,3332,1.02177246,"7-day click or 1-day view",Reach,3261,1266,388.22447102,2025-11-22,2025-11-27,0,0,316.5,379.95198079,,,4,316.5,1266,,4,316.5,100,4,0.12266176,2025-11-26,2025-11-26
"ABOS Traffic","Johnny Depp Interest Group","Hello Tokyo - Copy",2025-11-26,not_delivering,ad,0,0,0,"7-day click or 1-day view",,,0,,2025-11-22,2025-11-28,0,0,,,,,,,,0,,,0,,,2025-11-26,2025-11-26
"NSN - ABOS - Awareness Kanto","Broad Tokyo + Kanagawa + Saitama","Hello Tokyo",2025-11-26,not_delivering,ad,27035,27705,1.02478269,"7-day click or 1-day view",Reach,27035,13508,499.64860366,2025-11-22,2025-11-27,0,0,201.6119403,487.5654214,,,67,201.6119403,,1688.5,55,245.6,82.08955224,67,0.24782689,2025-11-26,2025-11-26
"Test - NSN - ABOS - Awareness Kanto","Interest Based in Tokyo + Kanagawa + Saitama","Hello Tokyo",2025-11-26,not_delivering,ad,18374,18711,1.01834113,"7-day click or 1-day view",Reach,18374,6009,327.03820616,2025-11-22,2025-11-27,0,0,231.11538462,321.14798781,,,26,231.11538462,6009,2003,18,333.83333333,69.23076923,26,0.1415043,2025-11-26,2025-11-26
"Test - NSN - ABOS - Awareness Kanto","Interest Based in Tokyo + Kanagawa + Saitama","Hanging sketches",2025-11-25,not_delivering,ad,6813,6813,1,"7-day click or 1-day view",Reach,6813,946,138.85219433,2025-11-22,2025-11-27,0,0,94.6,138.85219433,,,10,94.6,,,7,135.14285714,70,10,0.14677822,2025-11-25,2025-11-25
"ABOS Traffic","Johnny Depp Interest Group","Black and white photo",2025-11-25,not_delivering,ad,1556,1577,1.01349614,"7-day click or 1-day view","Landing page views",72,794,11.02777778,2025-11-22,2025-11-28,5.26315789,5.55555556,10.44736842,503.48763475,198.5,4,76,10.87671233,56.71428571,11.50724638,72,11.02777778,94.73684211,73,4.69151671,2025-11-25,2025-11-25
"NSN - ABOS - Awareness Kanto","Broad Tokyo + Kanagawa + Saitama","JD Photography",2025-11-25,not_delivering,ad,365,372,1.01917808,"7-day click or 1-day view",Reach,365,61,167.12328767,2025-11-22,2025-11-27,0,0,30.5,163.97849462,,,2,30.5,,,1,61,50,2,0.54794521,2025-11-25,2025-11-25
"ABOS Traffic","Johnny Depp Interest Group","JD Photograph with graphics - Copy",2025-11-25,not_delivering,ad,0,0,0,"7-day click or 1-day view",,,0,,2025-11-22,2025-11-28,0,0,,,0,1,,,0,0,,,0,,,2025-11-25,2025-11-25
"Test - NSN - ABOS - Awareness Kanto","Interest Based in Tokyo + Kanagawa + Saitama","JD  Painting video",2025-11-25,not_delivering,ad,17118,17118,1,"7-day click or 1-day view",Reach,17118,2770,161.81796939,2025-11-22,2025-11-27,0,0,307.77777778,161.81796939,,,9,307.77777778,,,7,395.71428571,77.77777778,9,0.05257624,2025-11-25,2025-11-25
"Test - NSN - ABOS - Awareness Kanto","Interest Based in Tokyo + Kanagawa + Saitama","Hello Tokyo",2025-11-25,not_delivering,ad,10118,10261,1.01413323,"7-day click or 1-day view",Reach,10118,1663,164.36054556,2025-11-22,2025-11-27,0,0,166.3,162.06997369,,,10,166.3,,,9,184.77777778,90,10,0.09883376,2025-11-25,2025-11-25
"Test - NSN - ABOS - Awareness Kanto","Interest Based in Tokyo + Kanagawa + Saitama","JD Desk - Red Curtain",2025-11-25,not_delivering,ad,4104,4187,1.02022417,"7-day click or 1-day view",Reach,4104,608,148.14814815,2025-11-22,2025-11-27,0,0,152,145.21136852,,,4,152,,608,3,202.66666667,75,4,0.09746589,2025-11-25,2025-11-25
"Test - NSN - ABOS - Awareness Kanto","Interest Based in Tokyo + Kanagawa + Saitama","JD Photography",2025-11-25,not_delivering,ad,2,2,1,"7-day click or 1-day view",Reach,2,0,0,2025-11-22,2025-11-27,0,0,,0,,,,,,,,,0,,,2025-11-25,2025-11-25
"ABOS Traffic","Johnny Depp Interest Group","JD with Skeleton Confetti",2025-11-25,not_delivering,ad,0,0,0,"7-day click or 1-day view",,,0,,2025-11-22,2025-11-28,0,0,,,,,,,,0,,,0,,,2025-11-25,2025-11-25
"Test - NSN - ABOS - Awareness Kanto","Interest Based in Tokyo + Kanagawa + Saitama","JD Konnichiwa Video",2025-11-25,not_delivering,ad,45637,45637,1,"7-day click or 1-day view",Reach,45637,7175,157.21892324,2025-11-22,2025-11-27,0,0,287,157.21892324,,,25,287,7175,7175,19,377.63157895,76,25,0.05478011,2025-11-25,2025-11-25
