クライアントID,興行ID,公演日,開演時間,席種NO,席種名,券種NO,券種名,販売枚数
jd,JD25111430,20251117,1140,4,入場券,6,大人,2
jd,JD25111430,20251117,1140,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251117,1230,4,入場券,6,大人,10
jd,JD25111430,20251117,1230,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251117,1320,4,入場券,6,大人,6
jd,JD25111430,20251117,1320,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251117,1410,4,入場券,6,大人,0
jd,JD25111430,20251117,1410,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251117,1500,4,入場券,6,大人,2
jd,JD25111430,20251117,1500,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251117,1550,4,入場券,6,大人,2
jd,JD25111430,20251117,1550,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251117,1640,4,入場券,6,大人,0
jd,JD25111430,20251117,1640,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251117,1730,4,入場券,6,大人,0
jd,JD25111430,20251117,1730,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251117,1820,4,入場券,6,大人,0
jd,JD25111430,20251117,1820,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251117,1910,4,入場券,6,大人,4
jd,JD25111430,20251117,1910,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251117,2000,4,入場券,6,大人,1
jd,JD25111430,20251117,2000,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251118,1000,4,入場券,6,大人,6
jd,JD25111430,20251118,1000,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251118,1050,4,入場券,6,大人,3
jd,JD25111430,20251118,1050,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251118,1140,4,入場券,6,大人,2
jd,JD25111430,20251118,1140,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251118,1230,4,入場券,6,大人,3
jd,JD25111430,20251118,1230,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251118,1320,4,入場券,6,大人,3
jd,JD25111430,20251118,1320,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251118,1410,4,入場券,6,大人,6
jd,JD25111430,20251118,1410,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251118,1500,4,入場券,6,大人,1
jd,JD25111430,20251118,1500,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251118,1550,4,入場券,6,大人,0
jd,JD25111430,20251118,1550,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251118,1640,4,入場券,6,大人,0
jd,JD25111430,20251118,1640,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251118,1730,4,入場券,6,大人,0
jd,JD25111430,20251118,1730,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251118,1820,4,入場券,6,大人,0
jd,JD25111430,20251118,1820,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251118,1910,4,入場券,6,大人,0
jd,JD25111430,20251118,1910,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251118,2000,4,入場券,6,大人,0
jd,JD25111430,20251118,2000,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251119,1000,4,入場券,6,大人,4
jd,JD25111430,20251119,1000,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251119,1050,4,入場券,6,大人,2
jd,JD25111430,20251119,1050,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251119,1140,4,入場券,6,大人,5
jd,JD25111430,20251119,1140,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251119,1230,4,入場券,6,大人,1
jd,JD25111430,20251119,1230,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251119,1320,4,入場券,6,大人,2
jd,JD25111430,20251119,1320,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251119,1410,4,入場券,6,大人,1
jd,JD25111430,20251119,1410,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251119,1500,4,入場券,6,大人,1
jd,JD25111430,20251119,1500,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251119,1550,4,入場券,6,大人,1
jd,JD25111430,20251119,1550,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251119,1640,4,入場券,6,大人,0
jd,JD25111430,20251119,1640,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251119,1730,4,入場券,6,大人,0
jd,JD25111430,20251119,1730,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251119,1820,4,入場券,6,大人,2
jd,JD25111430,20251119,1820,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251119,1910,4,入場券,6,大人,0
jd,JD25111430,20251119,1910,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251119,2000,4,入場券,6,大人,0
jd,JD25111430,20251119,2000,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251120,1000,4,入場券,6,大人,4
jd,JD25111430,20251120,1000,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251120,1050,4,入場券,6,大人,1
jd,JD25111430,20251120,1050,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251120,1140,4,入場券,6,大人,1
jd,JD25111430,20251120,1140,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251120,1230,4,入場券,6,大人,2
jd,JD25111430,20251120,1230,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251120,1320,4,入場券,6,大人,2
jd,JD25111430,20251120,1320,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251120,1410,4,入場券,6,大人,1
jd,JD25111430,20251120,1410,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251120,1500,4,入場券,6,大人,1
jd,JD25111430,20251120,1500,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251120,1550,4,入場券,6,大人,0
jd,JD25111430,20251120,1550,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251120,1640,4,入場券,6,大人,0
jd,JD25111430,20251120,1640,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251120,1730,4,入場券,6,大人,0
jd,JD25111430,20251120,1730,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251120,1820,4,入場券,6,大人,0
jd,JD25111430,20251120,1820,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251120,1910,4,入場券,6,大人,0
jd,JD25111430,20251120,1910,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251120,2000,4,入場券,6,大人,0
jd,JD25111430,20251120,2000,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251121,1000,4,入場券,6,大人,2
jd,JD25111430,20251121,1000,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251121,1050,4,入場券,6,大人,3
jd,JD25111430,20251121,1050,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251121,1140,4,入場券,6,大人,0
jd,JD25111430,20251121,1140,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251121,1230,4,入場券,6,大人,1
jd,JD25111430,20251121,1230,4,入場券,7,子ども(3～12歳まで),0
