"Campaign name","Ad set name","Ad name",Day,"Delivery status","Delivery level",Reach,Impressions,Frequency,"Attribution setting","Result type",Results,"Amount spent (JPY)","Cost per result",Starts,Ends,"Purchases rate per link clicks","Purchases rate per landing page views","CPC (cost per link click)","CPM (cost per 1,000 impressions)","Cost per purchase",Purchases,"Link clicks","Cost per unique link click","Cost per add to cart","Cost per checkout initiated","Landing page views","Cost per landing page view","Landing page views rate per link clicks","Unique link clicks","Unique CTR (link click-through rate)","Reporting starts","Reporting ends"
"ABOS Sales 2.0","Web Retarg 2.0","Black and white photo 2.0 [Redirect]",2026-01-11,not_delivering,ad,475,531,1.11789474,"7-day click, 1-day view, or 1-day engaged-view",,,380,,2026-01-09,Ongoing,0,0,42.22222222,715.63088512,,,9,42.22222222,,,6,63.33333333,66.66666667,9,1.89473684,2026-01-11,2026-01-11
"ABOS Sales 2.0","Web Retarg 2.0","Flexible 3 Groups 2.0",2026-01-11,not_delivering,ad,1205,1383,1.14771784,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",1,1095,1095,2026-01-09,Ongoing,3.03030303,3.7037037,33.18181818,791.75704989,1095,1,33,36.5,,1095,27,40.55555556,81.81818182,30,2.48962656,2026-01-11,2026-01-11
"ABOS Sales 2.0","Web Retarg 2.0","Coming of Age [Post]",2026-01-11,not_delivering,ad,130,144,1.10769231,"7-day click, 1-day view, or 1-day engaged-view",,,126,,2026-01-09,Ongoing,0,0,42,875,,,3,42,,,1,126,33.33333333,3,2.30769231,2026-01-11,2026-01-11
"ABOS Sales 2.0",Lookalikes+Engagers,"Black and white photo 2.0 [Redirect]",2026-01-11,not_delivering,ad,992,1105,1.11391129,"7-day click, 1-day view, or 1-day engaged-view",,,653,,2026-01-09,Ongoing,0,0,27.20833333,590.95022624,,,24,31.0952381,,,8,81.625,33.33333333,21,2.11693548,2026-01-11,2026-01-11
"ABOS Sales 2.0",Lookalikes+Engagers,"Flexible 3 Groups 2.0",2026-01-11,not_delivering,ad,1545,1711,1.10744337,"7-day click, 1-day view, or 1-day engaged-view",,,1037,,2026-01-09,Ongoing,0,0,27.28947368,606.07831677,,,38,28.02702703,,,14,74.07142857,36.84210526,37,2.39482201,2026-01-11,2026-01-11
"ABOS Sales 2.0",Lookalikes+Engagers,"Enter the world of Johnny Depp [Post]",2026-01-11,not_delivering,ad,420,467,1.11190476,"7-day click, 1-day view, or 1-day engaged-view",,,254,,2026-01-09,Ongoing,0,0,50.8,543.89721627,,,5,50.8,,,1,254,20,5,1.19047619,2026-01-11,2026-01-11
"ABOS Traffic 2.0","Broad JP Cities","JD Konnichiwa Video - Copy",2026-01-11,active,ad,5258,5258,1,"7-day click or 1-day view","Landing page views",68,1551,22.80882353,2026-01-09,Ongoing,0,0,5.98841699,294.9790795,,,259,6.25403226,,,68,22.80882353,26.25482625,248,4.71662229,2026-01-11,2026-01-11
"ABOS Traffic 2.0","JD Deep Interest","JD with Skeleton Confetti",2026-01-11,active,ad,77,77,1,"7-day click or 1-day view",,,9,,2026-01-09,Ongoing,0,0,9,116.88311688,,,1,9,,,,,0,1,1.2987013,2026-01-11,2026-01-11
"ABOS Traffic 2.0","Broad JP Cities","JD announcement date post",2026-01-11,active,ad,1791,1825,1.01898381,"7-day click or 1-day view","Landing page views",18,313,17.38888889,2026-01-09,Ongoing,0,0,4.47142857,171.50684932,,,70,4.60294118,,,18,17.38888889,25.71428571,68,3.79676159,2026-01-11,2026-01-11
"ABOS Sales Campaign","Zaiko + InBound (English)","Opening Weekend Video - Copy",2026-01-11,not_delivering,ad,1292,1375,1.06424149,"7-day click, 1-day view, or 1-day engaged-view",,,966,,2025-12-06,2026-01-19,0,0,50.84210526,702.54545455,,,19,50.84210526,966,,10,96.6,52.63157895,19,1.47058824,2026-01-11,2026-01-11
